slot,receiver_id,selected_pair,status,radial_command_m,angular_command_rad,consistency_rad
1,2,1-4,adjust,5.0,-0.03490658503988659,0.036199207797272724
1,3,1-4,adjust,-5.0,-0.03490658503988659,0.06290139055719685
1,6,1-5,adjust,-5.0,0.0016077451578366743,0.029954936765072382
1,7,1-5,adjust,-1.6391920249174479,0.008592429855454957,0.010389891802673449
1,8,1-5,adjust,-4.2351788703409206,0.011565177100916361,0.002527628351220023
1,9,1-5,adjust,-5.0,0.0015562724162266931,0.013901278758109283
2,2,1-7,adjust,0.46820878638897206,0.03490658503988659,0.0034805467844881838
2,3,1-7,adjust,-5.0,0.03490658503988659,0.0050551415217624275
2,4,1-7,adjust,-5.0,0.0020026648953326205,0.0067727416136462056
2,5,1-7,adjust,-1.4266657016090434,-0.0022528891078074636,0.008510198310972642
2,6,1-7,adjust,-2.958851549079549,-0.0013703158470184298,0.011229474296060577
2,9,1-8,adjust,-5.0,0.014059977079438877,0.001988129714274592
3,2,1-4,adjust,0.6053218482032516,-0.0006394451678477224,0.00032159160850120226
3,3,1-4,adjust,-0.46937909934504285,0.0001956488565230005,0.00019260573277926922
3,6,1-5,adjust,-0.7322608109466435,-0.001266789673539612,0.0016731371873523722
3,7,1-5,adjust,-1.110570159870225,-0.006288631461588824,0.0013349976650662374
3,8,1-5,adjust,-0.6129434576566607,-0.007306131471550186,0.0012155293055993305
3,9,1-5,adjust,-1.7763076552662254,-0.018868096808198818,0.001014919397735548
4,2,1-7,adjust,-0.2873564370502234,0.007884449042644136,0.00018346541693053313
4,3,1-7,adjust,-0.5128856788423819,0.006140386405176446,0.0008143390103131845
4,4,1-7,adjust,-0.559814860605665,0.00013195514448447452,0.0014111084441479553
4,5,1-7,adjust,-0.5157162471179259,0.000892747631625172,0.002011569853360948
4,6,1-7,adjust,-0.27429880910635634,-0.00048378707989508903,0.0030392707721096047
4,9,1-8,adjust,0.11594096563558214,0.0031702998232781055,0.002211988636489027
5,2,1-4,adjust,0.11498800770328267,-0.0032158066630751394,0.0012721740614078853
5,3,1-4,adjust,0.11736886712937274,-0.0014081307890369066,0.0022724065055113214
5,6,1-5,adjust,-0.18513935877867793,-0.00032648678879308496,0.0019481283077289076
5,7,1-5,adjust,-0.2988142557723221,-0.0017341836235984925,0.001045797924526581
5,8,1-5,adjust,-0.11510414421243353,-0.001389608046067642,0.0005643609106104942
5,9,1-5,adjust,-0.11435120619191431,-0.003127508655122182,3.641455338210737e-05
6,2,1-7,adjust,-0.028508649503095045,0.0007843723439280808,6.731813647813978e-05
6,3,1-7,adjust,-0.028437766351019758,0.0003390315888359407,0.0002192160827324315
6,4,1-7,adjust,0.0009569593139919481,-5.601352923460381e-06,0.0003929111589524304
6,5,1-7,adjust,-0.1342448235727564,0.00023671504474449538,0.0005186088689957019
6,6,1-7,adjust,-0.06806314769862386,-0.00012001405157907393,0.0008159740945596232
6,9,1-8,adjust,0.03141409721441519,0.0008616206994183552,0.0004473617055252984
7,2,1-4,adjust,0.028945682562331772,-0.0007961593374704841,0.0003805609566331599
7,3,1-4,adjust,0.02924620658771393,-0.0003486205787639272,0.0006632615898945393
7,6,1-5,adjust,-0.05033907243006887,-8.875917140126591e-05,0.0005458193390243197
7,7,1-5,adjust,-0.07719226614175348,-0.00044626703459309144,0.0002774412303814993
7,8,1-5,adjust,-0.030266940879731967,-0.0003616449058447563,0.00020900211677664973
7,9,1-5,adjust,-0.03129530830431834,-0.000858679640039002,4.51296165710019e-05
8,2,1-7,adjust,-0.006314836720194275,0.0001735791034518563,2.8631665454478953e-05
8,3,1-7,adjust,-0.006547719981815309,7.804600640568523e-05,5.9355589575669484e-05
8,4,1-7,adjust,0.00011189732077459531,-6.458933397842862e-07,0.00012656297746924114
8,5,1-7,adjust,-0.0346725955338134,6.113176036457983e-05,0.00013123502735797293
8,6,1-7,adjust,-0.014880417089870387,-2.623472085026801e-05,0.00024294797809014236
8,9,1-8,adjust,0.009575058453178811,0.00026284640393646653,4.668727307829788e-06
9,2,1-4,adjust,0.006365771249006465,-0.00017494736898326175,0.00015261255651013278
9,3,1-4,adjust,0.006641988985955304,-7.916183681775537e-05,0.00025039564620023264
9,6,1-5,adjust,-0.015635096047193126,-2.7567794716437368e-05,0.0001840708772607775
9,7,1-5,adjust,-0.01991226592505262,-0.00011499018988152834,7.857275241959772e-05
9,8,1-5,adjust,-0.007848060207962535,-9.360279407055451e-05,0.00011639429889264098
9,9,1-5,adjust,-0.009564216892664162,-0.0002626394677352809,4.603036183034733e-05
10,2,1-7,adjust,-0.0005288415343153529,1.4538015702191582e-05,1.8052004654718078e-05
10,3,1-7,adjust,-0.0008013146675353747,9.55184605601414e-06,1.7665978567635748e-05
10,4,1-7,adjust,6.556750602104466e-06,-3.783788656681081e-08,5.7519307639219406e-05
10,5,1-7,adjust,-0.008944245399164547,1.576900457279022e-05,3.1097281233329604e-05
10,6,1-7,adjust,-0.0011766199404290908,-2.0733410541267824e-06,9.514893165899734e-05
10,9,1-8,adjust,0.003936640394559605,0.00010810200189117834,0.00010846987353130047
11,2,1-4,adjust,0.0005319420259147236,-1.461593257931719e-05,9.413673276908356e-05
11,3,1-4,adjust,0.0008068080093510763,-9.615469884441239e-06,0.0001443045826212573
11,6,1-5,adjust,-0.006690931952758805,-1.1797827539123814e-05,9.085411259139932e-05
11,7,1-4,adjust,-0.007859672769564972,-4.537666492839829e-05,4.17413298686685e-05
11,8,1-5,adjust,-0.002026573440112969,-2.4159277816159895e-05,9.24046547028118e-05
11,9,1-5,adjust,-0.003935205421098058,-0.00010808625435347719,4.608655409000828e-05
12,2,1-7,adjust,0.0017720020881035392,-4.868144256231791e-05,3.0293802160970158e-05
12,3,1-7,adjust,0.001497145595422554,-1.7841842931055452e-05,1.3908692458116935e-05
12,4,1-7,adjust,3.022254421052619e-07,-1.743907459976966e-09,3.9692458124615153e-05
12,5,1-7,adjust,-0.0035301707924411995,6.224052368648982e-06,2.7266796518541748e-06
12,6,1-7,adjust,5.669323126233138e-05,1.0057453012568581e-07,3.6812918962151884e-05
12,9,1-8,adjust,0.002482310651066566,6.817797474354718e-05,0.00017931730768743393
13,2,1-4,adjust,-0.0017718050766404115,4.867888392466666e-05,7.109067122707709e-05
13,3,1-4,adjust,-0.0014969063613071286,1.7839716575823906e-05,0.00010247417093550289
13,6,1-5,adjust,-0.0031614097101493478,-5.57442536400392e-06,5.407301941470722e-05
13,7,1-4,adjust,-2.0748442351572425e-07,6.910200185275921e-10,1.070058294532081e-05
13,8,1-5,adjust,-0.0008000881946633226,-9.536288538934865e-06,8.292598472467555e-05
13,9,1-5,adjust,-0.0024820004840098524,-6.817556823452373e-05,4.609064242904097e-05
14,2,1-7,adjust,0.0017717924117803235,-4.8678536316234665e-05,1.803432334318177e-05
14,3,1-7,adjust,0.001496829101667829,-1.783879582828133e-05,4.427419964571278e-06
14,4,1-7,adjust,-1.635972680858989e-07,9.445748619192093e-10,3.265425876342927e-05
14,5,1-7,adjust,-2.9000115491700277e-07,2.698523559158513e-10,6.985344404436969e-06
14,6,1-7,adjust,0.0031610608984585704,5.5740940410313e-06,3.6811505358693366e-05
14,9,1-8,adjust,0.0019084412961830589,5.241977125047691e-05,0.0001597534337261748
15,2,1-4,adjust,-0.0017718658773972547,4.868055502207634e-05,7.109110317833941e-05
15,3,1-4,adjust,-0.001496967185410817,1.7840441456475246e-05,0.0001024737945819954
15,6,1-5,adjust,-0.0031613241925054695,-5.574558262796921e-06,5.407077066868222e-05
15,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
15,8,1-5,adjust,-7.007235145672678e-08,-1.1824364353251116e-09,8.292447377382704e-05
15,9,1-5,adjust,-0.001908365842412198,-5.242011259738875e-05,4.608936349319128e-05
16,2,1-7,adjust,0.0017718658853924812,-4.868055506258927e-05,1.8032948941304685e-05
16,3,1-7,adjust,0.001496967188129387,-1.7840441496736643e-05,4.42628895177694e-06
16,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
16,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
16,6,1-7,adjust,0.0031613241840458698,5.574558272405069e-06,3.681120468360674e-05
16,9,1-8,adjust,0.0019083092921810105,5.2418559361995686e-05,0.00015975150472211655
17,2,1-4,adjust,-0.0017718658853748007,4.8680555061703836e-05,7.109110317763431e-05
17,3,1-4,adjust,-0.0014969671881445384,1.784044149660387e-05,0.00010247379458257228
17,6,1-5,adjust,-0.003161324184028458,-5.574558271966352e-06,5.407077066858607e-05
17,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
17,8,1-5,adjust,-0.0,-0.0,8.292447377775308e-05
17,9,1-5,adjust,-0.0019083092839229778,-5.241855937380246e-05,4.6089363491060004e-05
18,2,1-7,adjust,0.001771865885419834,-4.868055506271158e-05,1.803294894210592e-05
18,3,1-7,adjust,0.0014969671881686125,-1.7840441496852537e-05,4.426288952033335e-06
18,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
18,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
18,6,1-7,adjust,0.0031613241839890116,5.57455827071354e-06,3.681120468367083e-05
18,9,1-8,adjust,0.0019083092839083738,5.241855937376293e-05,0.0001597515047219563
19,2,1-4,adjust,-0.0017718658854424395,4.8680555062673946e-05,7.1091103178724e-05
19,3,1-4,adjust,-0.001496967188161449,1.7840441497249453e-05,0.0001024737945814185
19,6,1-5,adjust,-0.003161324184020865,-5.5745582697325235e-06,5.407077066897066e-05
19,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
19,8,1-5,adjust,-0.0,-0.0,8.292447377775308e-05
19,9,1-5,adjust,-0.0019083092838736197,-5.241855937233516e-05,4.608936349009852e-05
20,2,1-7,adjust,0.0017718658854428638,-4.8680555063048247e-05,1.8032948941368785e-05
20,3,1-7,adjust,0.0014969671881821377,-1.784044149764283e-05,4.426288951889112e-06
20,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
20,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
20,6,1-7,adjust,0.0031613241840120388,5.574558269273851e-06,3.681120468408747e-05
20,9,1-8,adjust,0.0019083092838760483,5.2418559372874855e-05,0.00015975150472237294
21,2,1-4,adjust,-0.0017718658854274081,4.8680555063001124e-05,7.109110317833941e-05
21,3,1-4,adjust,-0.0014969671882009053,1.784044149771965e-05,0.00010247379458263639
21,6,1-5,adjust,-0.0031613241839923887,-5.574558270015389e-06,5.407077066909886e-05
21,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
21,8,1-5,adjust,-0.0,-0.0,8.292447377775308e-05
21,9,1-5,adjust,-0.0019083092839217088,-5.241855937550708e-05,4.6089363488656294e-05
22,2,1-7,adjust,0.001771865885419834,-4.868055506271158e-05,1.803294894210592e-05
22,3,1-7,adjust,0.001496967188129387,-1.7840441496736643e-05,4.42628895177694e-06
22,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
22,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
22,6,1-7,adjust,0.003161324184001965,5.574558270514308e-06,3.6811204682997795e-05
22,9,1-8,adjust,0.0019083092839407,5.2418559375539024e-05,0.00015975150472269346
23,2,1-4,adjust,-0.0017718658854424395,4.8680555062673946e-05,7.1091103178724e-05
23,3,1-4,adjust,-0.0014969671880881734,1.7840441496820245e-05,0.00010247379458221974
23,6,1-5,adjust,-0.003161324184020865,-5.5745582697325235e-06,5.407077066897066e-05
23,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
23,8,1-5,adjust,-0.0,-0.0,8.292447377775308e-05
23,9,1-5,adjust,-0.0019083092839065226,-5.241855937420165e-05,4.608936349013057e-05
24,2,1-7,adjust,0.0017718658854428638,-4.8680555063048247e-05,1.8032948941368785e-05
24,3,1-7,adjust,0.0014969671881821377,-1.784044149764283e-05,4.426288951889112e-06
24,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
24,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
24,6,1-7,adjust,0.0031613241840120388,5.574558269273851e-06,3.681120468408747e-05
24,9,1-8,adjust,0.0019083092839083738,5.241855937376293e-05,0.0001597515047219563
25,2,1-4,adjust,-0.0017718658854274081,4.8680555063001124e-05,7.109110317833941e-05
25,3,1-4,adjust,-0.0014969671882009053,1.784044149771965e-05,0.00010247379458263639
25,6,1-5,adjust,-0.0031613241839923887,-5.574558270015389e-06,5.407077066909886e-05
25,7,1-4,adjust,-0.0,-0.0,1.0697823561618235e-05
25,8,1-5,adjust,-0.0,-0.0,8.292447377775308e-05
25,9,1-5,adjust,-0.0019083092838736197,-5.241855937233516e-05,4.608936349009852e-05
26,2,1-7,adjust,0.001771865885419834,-4.868055506271158e-05,1.803294894210592e-05
26,3,1-7,adjust,0.001496967188129387,-1.7840441496736643e-05,4.42628895177694e-06
26,4,1-7,adjust,-0.0,-0.0,3.2653341746672154e-05
26,5,1-7,adjust,-0.0,-0.0,6.986017974839101e-06
26,6,1-7,adjust,0.003161324184001965,5.574558270514308e-06,3.6811204682997795e-05
26,9,1-8,adjust,0.0019083092838518044,5.241855937265278e-05,0.00015975150472134737
