slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
0,,0,0,0,0.0,0.0,10.532381620660052,6.028889365434238,10.531567965403369,0.2635868102006481,0.4004081062814535
1,0-1-4-5,4,4,4,28.864314830613342,28.864314830613342,6.020238502317041,3.7565908809394957,6.001577129820191,2.1901774428914798,1.926590632690825
2,0-1-7-8,4,8,8,24.474757249196912,53.33907207981025,5.54068572004083,3.5307351774332916,5.531567965403369,2.0222785839860484,2.2044610373054567
3,0-1-4-5,4,12,12,16.484325398042063,69.82339747785231,4.8824661048188815,2.5653993824384256,4.8127747413690685,0.9144260785199962,1.085173207464642
4,0-1-7-8,4,16,16,12.230240080502757,82.05363755835506,3.1413692191631384,1.7114383439598306,2.7185221575242338,1.2553041625695534,1.2553041625695442
5,0-1-4-5,4,20,20,9.387025358904044,91.4406629172591,1.1811791774846094,0.5980686666787247,1.1643664084226089,0.21566512245687194,0.21281100968026578
6,0-1-7-8,4,24,24,2.92198971224742,94.36265262950653,0.7633819575715473,0.46027971373869686,0.664839961064672,0.30994018893665043,0.30994018893667175
7,0-1-4-5,4,28,28,2.591242177017943,96.95389480652447,0.30747661372871615,0.156639952808793,0.30369723167048335,0.05603724579751533,0.05095169490530793
8,0-1-7-8,4,32,32,0.7040934800971709,97.65798828662165,0.20241735851978415,0.12039782238754726,0.17726880929325262,0.07889945523293689,0.07889945523294983
9,0-1-4-5,4,36,36,0.6424622175980882,98.30045050421974,0.08520473548661879,0.044243887211391594,0.0846732977498732,0.014671240856455561,0.011729552489306627
10,0-1-7-8,4,40,40,0.16518502348643282,98.46563552770617,0.05790317940272406,0.03414707852652696,0.05193692348936452,0.021226158388429058,0.021226158388444105
11,0-1-4-5,4,44,44,0.1505047142992798,98.61614024200544,0.028408751629806717,0.015976104954808088,0.028405633584185352,0.0057167975562545685,0.005716797556260644
12,0-1-7-8,4,48,48,0.044675444311009546,98.66081568631645,0.02087375118532175,0.012697199208702466,0.01967002260411732,0.00680010809124508,0.006800108091240986
13,0-1-4-5,4,52,52,0.04230305256151719,98.70311873887798,0.014233115852250122,0.009044724458546564,0.013918358534311892,0.005730244102264805,0.005730244102259974
14,0-1-7-8,4,56,56,0.03745578520009871,98.74057452407807,0.009672430232113076,0.007014969792419021,0.009155170171254667,0.003092357881266761,0.005100230373194847
15,0-1-4-5,4,60,60,0.029597187265005237,98.77017171134308,0.010188670904819423,0.007539134921827975,0.009005134143620808,0.005731061987626141,0.0057310619876247415
16,0-1-7-8,4,64,64,0.02541252413255371,98.79558423547563,0.009673158045202178,0.006634397556450094,0.008866084019018672,0.0028837866870208614,0.005100168402194072
17,0-1-4-5,4,68,68,0.025412394409826622,98.82099662988546,0.010189268920529555,0.007539315707852469,0.009005880425135615,0.005730972919449176,0.005730972919458566
18,0-1-7-8,4,72,72,0.02541252380811649,98.84640915369357,0.009673158045202178,0.006634468773730697,0.008866084019018672,0.0028837866853415285,0.005100168400517191
19,0-1-4-5,4,76,76,0.02541252378435361,98.87182167747793,0.01018926892048245,0.007539315708370315,0.009005880425092982,0.005730972919550953,0.005730972919558042
20,0-1-7-8,4,80,80,0.0254125237842968,98.89723420126222,0.009673158045202178,0.006634468773740569,0.008866084019018672,0.0028837866853415285,0.005100168400517191
21,0-1-4-5,4,84,84,0.025412523784198934,98.92264672504642,0.010189268920654415,0.007539315708385468,0.009005880425164037,0.005730972919525509,0.005730972919515409
22,0-1-7-8,4,88,88,0.025412523784175974,98.94805924883059,0.009673158045202178,0.006634468773746356,0.008866084019018672,0.0028837866853924175,0.005100168400566929
23,0-1-4-5,4,92,92,0.025412523784119706,98.97347177261472,0.01018926892048245,0.0075393157083657155,0.009005880425092982,0.005730972919525509,0.00573097291952962
24,0-1-7-8,4,96,96,0.025412523784242302,98.99888429639896,0.009673158045202178,0.006634468773735565,0.008866084019018672,0.0028837866853415285,0.005100168400517191
25,0-1-4-5,4,100,100,0.025412523784268243,99.02429682018322,0.010189268920654415,0.007539315708381529,0.009005880425164037,0.00573097291947462,0.005730972919479882
26,0-1-7-8,4,104,104,0.025412523784215973,99.04970934396744,0.009673158045202178,0.006634468773739426,0.008866084019018672,0.0028837866853924175,0.005100168400566929
27,0-1-4-5,4,108,108,0.02541252378413868,99.07512186775158,0.01018926892048245,0.0075393157083546245,0.009005880425092982,0.00573097291947462,0.005730972919479882
28,0-1-7-8,4,112,112,0.02541252378420824,99.10053439153579,0.009673158045202178,0.006634468773746109,0.008866084019018672,0.0028837866853415285,0.005100168400517191
29,0-1-4-5,4,116,116,0.025412523784357023,99.12594691532014,0.010189268920654415,0.0075393157083954295,0.009005880425164037,0.005730972919500065,0.005730972919508304
30,0-1-7-8,4,120,120,0.025412523784255018,99.1513594391044,0.009673158045202178,0.006634468773748103,0.008866084019018672,0.0028837866853924175,0.005100168400566929
31,0-1-4-5,4,124,124,0.025412523784202556,99.1767719628886,0.01018926892048245,0.007539315708368208,0.009005880425092982,0.005730972919525509,0.00573097291952962
32,0-1-7-8,4,128,128,0.025412523784324934,99.20218448667292,0.009673158045202178,0.006634468773737958,0.008866084019018672,0.0028837866853415285,0.005100168400517191
33,0-1-4-5,4,132,132,0.025412523784191322,99.22759701045712,0.010189268920654415,0.007539315708382909,0.009005880425164037,0.00573097291947462,0.005730972919479882
