condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,final_below_1mm,joint_success_1cm,joint_success_1mm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,record_stays_1cm_after_first,first_1mm_slot,first_1mm_tx,sustained_1mm_from_slot,record_stays_1mm_after_first,max_position_error_m,rms_position_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds,gain,budget_exhausted,fit_failed,link_bias_std_deg,source_kind,source_dir,summary_path,cache_sha256,tail100_local_decisions,tail100_nominal_selected_matches,tail100_nominal_selected_match_rate,tail100_holding_count,tail100_radial_clip_count,tail100_angular_clip_count
exact,-1.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,31.0,124.0,31.0,True,41.0,164.0,41.0,True,1.5619488872821338e-06,6.274576564962714e-07,84.0,336.0,64.83850568491052,0.0,11.95780033399933,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/table1,appendix1/evaluation_560/exact/table1/summary.json,13c64eab4f614c533eb832a88d0d916b4510d18e72ae1516d5113e9a0435cd20,,,,,,
exact,0.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,26.0,104.0,26.0,True,34.0,136.0,34.0,True,1.6040042104215762e-06,5.987253022619231e-07,78.0,312.0,73.79404823133854,0.0,10.129015375001472,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_000,appendix1/evaluation_560/exact/trial_000/summary.json,6d6dd445a85036c57bf319ca0a58bcdeb2b93c21d38f06d9834699dc85b8c6ad,,,,,,
exact,1.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,44.0,176.0,44.0,True,53.0,212.0,53.0,True,1.9384093333991654e-06,7.45849482041899e-07,96.0,384.0,102.95888880851695,0.0,11.030932499998016,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_001,appendix1/evaluation_560/exact/trial_001/summary.json,7f986fadc3e6ee1cb3653a222938ce8bddd541fd8dc41e250617ff5b7773d899,,,,,,
exact,2.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,2.054264017804747e-06,7.898877230207009e-07,90.0,360.0,95.2065192402901,0.0,9.020716374994663,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_002,appendix1/evaluation_560/exact/trial_002/summary.json,1c98e68a0ae3a6561e9b6b2fc40920fa5b8d66de757a05f87e1bd22610a024fb,,,,,,
exact,3.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,34.0,136.0,34.0,True,43.0,172.0,43.0,True,1.9824740184569904e-06,7.674047722369525e-07,86.0,344.0,77.04125923660484,0.0,6.59261095799593,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_003,appendix1/evaluation_560/exact/trial_003/summary.json,f19115ca9abec9a8d38e6693ec04815a17fbf6f61eb6f1cdebc03896f6ea963c,,,,,,
exact,4.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,42.0,168.0,42.0,True,51.0,204.0,51.0,True,1.6828065919550696e-06,6.665305373863736e-07,94.0,376.0,88.23543151207136,0.0,7.413443874997029,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_004,appendix1/evaluation_560/exact/trial_004/summary.json,d8e3d19d54df06ed58ea26dbd9ac32b948adbfa7f3a5fc30373e4c4037fb47d2,,,,,,
exact,5.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,27.0,108.0,27.0,True,35.0,140.0,35.0,True,1.6755938986217376e-06,5.832954823618594e-07,78.0,312.0,66.72827695921306,0.0,7.060683750001772,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_005,appendix1/evaluation_560/exact/trial_005/summary.json,77777d6940ca97381743b793e361efdc57e65e620e0d81df86f5b9f4a0ff737b,,,,,,
exact,6.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,1.6987198797829201e-06,6.735251685967712e-07,90.0,360.0,92.31361540640171,0.0,9.334459167002933,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_006,appendix1/evaluation_560/exact/trial_006/summary.json,1c8a511dfe872fd22a829dd703d61ba8929a89cd09824b6c11ec37709f292cf5,,,,,,
exact,7.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,44.0,176.0,44.0,True,53.0,212.0,53.0,True,1.6857983868514334e-06,6.675055636263569e-07,96.0,384.0,91.68265024869939,0.0,11.02791000000434,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_007,appendix1/evaluation_560/exact/trial_007/summary.json,d138b80eec9ea6e97074f43b1c81145b5e15ba7663ff711364428fb78265ac57,,,,,,
exact,8.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.6660529419264182e-06,6.591969576957316e-07,92.0,368.0,101.12627474908965,0.0,9.919948084003408,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_008,appendix1/evaluation_560/exact/trial_008/summary.json,c7dfe30543be3a5651229e67cb92cf355ad46d888f9725bd417fc9f6251d3704,,,,,,
