model,gain,bearing_std_deg,link_bias_std_deg,covariance_transform,phase,slot,epsilon_m,threshold,statistic,samples,base_seed,seed_sequence,successful_samples,gaussian_numerical_integration_probability,gaussian_numerical_integration_wilson95_low,gaussian_numerical_integration_wilson95_high,conservative_failure_union_upper_bound,minimum_covariance_eigenvalue_m2,scope
pure_iid_bearing_gaussian,0.5,0.001,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-0-5,191811,0.959055,0.9581776756155838,0.9599146903143296,0.1402740715047171,3.9734226704928186e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,0.001,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-0-5,0,0.0,0.0,1.920692519040967e-05,1.0,3.9734226704928186e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,0.01,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-1-5,0,0.0,0.0,1.920692519040967e-05,1.0,3.973422670492868e-05,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,0.01,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-1-5,0,0.0,0.0,1.920692519040967e-05,1.0,3.973422670492868e-05,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,0.1,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-2-5,0,0.0,0.0,1.920692519040967e-05,1.0,0.003973422670492839,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,0.1,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-2-5,0,0.0,0.0,1.920692519040967e-05,1.0,0.003973422670492839,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,0.5,0.0,0.001,saved phase-560 fixed-link-bias covariance,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-3-5,70785,0.353925,0.3518321187445846,0.3560234925586097,1.0,6.148731081056612e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,0.5,0.0,0.001,saved phase-560 fixed-link-bias covariance,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-3-5,0,0.0,0.0,1.920692519040967e-05,1.0,6.148731081056612e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.001,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-4-10,48779,0.243895,0.24201790473120072,0.2457819332479511,1.0,6.126862958034776e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.001,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-4-10,0,0.0,0.0,1.920692519040967e-05,1.0,6.126862958034776e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.01,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-5-10,0,0.0,0.0,1.920692519040967e-05,1.0,6.126862958034848e-05,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.01,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-5-10,0,0.0,0.0,1.920692519040967e-05,1.0,6.126862958034848e-05,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.1,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-6-10,0,0.0,0.0,1.920692519040967e-05,1.0,0.006126862958034862,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,0.1,0.0,saved per-radian^2 covariance multiplied by bearing_std_rad^2,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-6-10,0,0.0,0.0,1.920692519040967e-05,1.0,0.006126862958034862,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,1.0,0.0,0.001,saved phase-560 fixed-link-bias covariance,560,560,0.01,1cm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-7-10,54277,0.271385,0.269440569777066,0.2733382122053388,1.0,6.062609081374086e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,1.0,0.0,0.001,saved phase-560 fixed-link-bias covariance,560,560,0.001,1mm,"Pr(max_{FY02..FY09} ||x_i||_2 < epsilon); local linear state, FY01 has zero error",200000,2026090617,2026090617-7-10,0,0.0,0.0,1.920692519040967e-05,1.0,6.062609081374086e-07,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
