check,gain,phase,paths,cycles,sample_root_expected_rms_squared_m,theory_root_expected_rms_squared_m,relative_frobenius_covariance_error
iid_bearing,0.5,559,12000,80,0.03701435988712161,0.03691209974846256,0.028105726092457047
iid_bearing,0.5,560,12000,80,0.03791679775164825,0.037693307079584494,0.032439794993748924
combined_bearing_0.01deg_actuation_1pct,0.5,559,12000,80,0.03691794292041484,0.03691496627371889,0.019749013440248975
combined_bearing_0.01deg_actuation_1pct,0.5,560,12000,80,0.03769245365386918,0.037696186408167014,0.019343266749494728
fixed_receiver_tx_link_bias_0.001deg,0.5,559,12000,80,0.007151047614489697,0.0071215218782281564,0.027588414386975735
fixed_receiver_tx_link_bias_0.001deg,0.5,560,12000,80,0.0072806133748109375,0.007245716377562917,0.027796307708726087
iid_bearing,1.0,559,12000,80,0.07356570764813222,0.07370707640265468,0.018273223644373494
iid_bearing,1.0,560,12000,80,0.07721601007576528,0.07725304330851396,0.017850773312165634
combined_bearing_0.01deg_actuation_1pct,1.0,559,12000,80,0.0739717016015351,0.07372014761798815,0.02942008609433779
combined_bearing_0.01deg_actuation_1pct,1.0,560,12000,80,0.07730917478457985,0.07726604276190185,0.017672112312246926
fixed_receiver_tx_link_bias_0.001deg,1.0,559,12000,80,0.007376323788807643,0.007370707640265469,0.01687907026969586
fixed_receiver_tx_link_bias_0.001deg,1.0,560,12000,80,0.007758901703617497,0.007725304330851396,0.019896685227110366
