case,gain,slot,phase_of_current_state,statistic,root_expected_rms_lin_squared_m,trace_second_moment_m2,minimum_second_moment_eigenvalue_m2,initial_true_geometric_root_expected_rms_squared_m
exact_local,0.5,0,initial,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,6.538187667741711,384.7310818074881,0.09138522593601256,6.5381876592263195
bearing_0.001deg_local,0.5,0,initial,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,6.538187667741711,384.7310818074881,0.09138522593601256,6.5381876592263195
combined_0.001deg_1pct_local,0.5,0,initial,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,6.538187667741711,384.7310818074881,0.09138522593601256,6.5381876592263195
exact_local,0.5,1,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,4.754534487915191,203.45038377097472,0.015414355429737788,
bearing_0.001deg_local,0.5,1,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,4.754534950616125,203.45042336967248,0.015417708385650677,
combined_0.001deg_1pct_local,0.5,1,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,4.7546602885422296,203.46115013496427,0.015498896559574924,
exact_local,0.5,2,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,3.1465713389992853,89.10820072270579,0.003127195131980082,
bearing_0.001deg_local,0.5,2,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,3.146572701326001,89.10827788257006,0.003131526961614478,
combined_0.001deg_1pct_local,0.5,2,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,3.146799464553526,89.12112183102921,0.0034619110347075903,
exact_local,0.5,3,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,2.6722719435265576,64.26933606143285,0.0007587891366064563,
bearing_0.001deg_local,0.5,3,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,2.6722737205808795,64.2694215393646,0.0007631919629740359,
