condition,metric,contrast,paired_trials,conditional_pair_count,mean_difference,median_difference,bootstrap95_low,bootstrap95_high,bootstrap_replicates,bootstrap_seed
exact,max_position_error_m,gain_1_minus_gain_0.5,100,,-1.6343409368023958e-06,-1.6407969778416638e-06,-1.699176864974837e-06,-1.569238759210694e-06,10000,20260906
exact,rms_position_error_m,gain_1_minus_gain_0.5,100,,-6.549931302766848e-07,-6.497931911269001e-07,-6.746680410550623e-07,-6.351107778607269e-07,10000,20260906
exact,measurement_slots,gain_1_minus_gain_0.5,100,,-33.0,-34.0,-33.84,-32.1,10000,20260906
exact,transmitter_uses,gain_1_minus_gain_0.5,100,,-132.0,-136.0,-135.44,-128.4,10000,20260906
exact,movement_m,gain_1_minus_gain_0.5,100,,9.992666319556784,10.103272390018297,7.700615368611812,12.305113923882315,10000,20260906
exact,first_1cm_slot,gain_1_minus_gain_0.5_conditional_both_first_events,100,100,-26.03,-27.0,-26.85,-25.16,10000,20260906
exact,first_1mm_slot,gain_1_minus_gain_0.5_conditional_both_first_events,100,100,-32.99,-34.0,-33.85,-32.1,10000,20260906
bearing_0.001deg,max_position_error_m,gain_1_minus_gain_0.5,100,,0.0066745290853540825,0.00631019022764966,0.005937643275751248,0.007428280907174351,10000,20260906
bearing_0.001deg,rms_position_error_m,gain_1_minus_gain_0.5,100,,0.003643295812565424,0.0034474123340765875,0.003285652480751918,0.004015446099782498,10000,20260906
bearing_0.001deg,measurement_slots,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.001deg,transmitter_uses,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.001deg,movement_m,gain_1_minus_gain_0.5,100,,30.319916677082574,30.464820185662184,27.934282499119757,32.67379736688215,10000,20260906
bearing_0.001deg,first_1cm_slot,gain_1_minus_gain_0.5_conditional_both_first_events,100,100,-24.79,-26.0,-25.94,-23.62,10000,20260906
bearing_0.01deg,max_position_error_m,gain_1_minus_gain_0.5,100,,0.06649276733082665,0.0574806188713934,0.0594228073848662,0.07388426006420323,10000,20260906
bearing_0.01deg,rms_position_error_m,gain_1_minus_gain_0.5,100,,0.036161646433266685,0.03441109003881358,0.032633192663417444,0.03972672729884421,10000,20260906
bearing_0.01deg,measurement_slots,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.01deg,transmitter_uses,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.01deg,movement_m,gain_1_minus_gain_0.5,100,,211.9173431147707,212.235826031569,209.3621148270798,214.40930329479636,10000,20260906
bearing_0.1deg,max_position_error_m,gain_1_minus_gain_0.5,100,,0.6653752315541667,0.582152265257851,0.5938913589394397,0.7390746652464376,10000,20260906
bearing_0.1deg,rms_position_error_m,gain_1_minus_gain_0.5,100,,0.36160537280446525,0.3502612623632573,0.32722428805651765,0.39816366763362704,10000,20260906
bearing_0.1deg,measurement_slots,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.1deg,transmitter_uses,gain_1_minus_gain_0.5,100,,0.0,0.0,0.0,0.0,10000,20260906
bearing_0.1deg,movement_m,gain_1_minus_gain_0.5,100,,2022.0969740270612,2019.3650766357237,2011.9302915077653,2032.2651834677717,10000,20260906
actuation_1pct,max_position_error_m,gain_1_minus_gain_0.5,100,,-1.652115057613481e-06,-1.6174494777414393e-06,-1.720202565241554e-06,-1.5861919167279755e-06,10000,20260906
actuation_1pct,rms_position_error_m,gain_1_minus_gain_0.5,100,,-6.61860244573975e-07,-6.516244035004315e-07,-6.832752909615081e-07,-6.392170562839531e-07,10000,20260906
actuation_1pct,measurement_slots,gain_1_minus_gain_0.5,100,,-33.14,-34.0,-33.96,-32.24,10000,20260906
