model,gain,condition,phase,threshold,gaussian_numerical_integration_probability,gaussian_numerical_integration_wilson95_low,gaussian_numerical_integration_wilson95_high,empirical_terminal_count,empirical_runs,empirical_terminal_rate,empirical_trial_wilson95_low,empirical_trial_wilson95_high,conservative_failure_union_upper_bound,scope
pure_iid_bearing_gaussian,0.5,bearing_0.001deg,560,1cm,0.959055,0.9581776756155838,0.9599146903143296,99,100,0.99,0.9455138038212946,0.9982325679358593,0.1402740715047171,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,bearing_0.001deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,bearing_0.01deg,560,1cm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,bearing_0.01deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,bearing_0.1deg,560,1cm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,0.5,bearing_0.1deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,0.5,link_bias_0.001deg,560,1cm,0.353925,0.3518321187445846,0.3560234925586097,38,100,0.38,0.29097599252478734,0.47790244704488916,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,0.5,link_bias_0.001deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.001deg,560,1cm,0.243895,0.24201790473120072,0.2457819332479511,27,100,0.27,0.1926958414957634,0.36432116767944994,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.001deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.01deg,560,1cm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.01deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.1deg,560,1cm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
pure_iid_bearing_gaussian,1.0,bearing_0.1deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,1.0,link_bias_0.001deg,560,1cm,0.271385,0.269440569777066,0.2733382122053388,30,100,0.3,0.2189488529493276,0.3958485463334666,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
fixed_receiver_tx_link_bias_gaussian,1.0,link_bias_0.001deg,560,1mm,0.0,0.0,1.920692519040967e-05,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.0,"Frozen active branch, Gaussian iid bearing or Gaussian run-fixed link bias only; numerical-integration interval is not a 100-trial experimental confidence interval"
