condition,contrast,metric,metric_kind,paired_trials,conditional_pair_count,mean_difference,median_difference,bootstrap95_low,bootstrap95_high,bootstrap_replicates,bootstrap_seed,main_source
exact,two_configuration_gain_0.5_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,max_position_error_m,difference,100,,-5.7234757946986e-05,-5.760971248163929e-05,-6.0317539794580005e-05,-5.419322562623777e-05,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,rms_position_error_m,difference,100,,-3.3208176456392336e-05,-3.329877555112444e-05,-3.5113575227769254e-05,-3.135868410297739e-05,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,measurement_slots,difference,100,,-110.42,-106.0,-114.12,-106.72,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,transmitter_uses,difference,100,,-441.68,-424.0,-456.08,-426.56,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,movement_m,difference,100,,-343.83965329481236,-323.365191059689,-383.40587378503113,-304.44128030180747,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_0.5_minus_main,first_1cm_slot,conditional_first_event_difference,100,100,-59.92,-60.5,-63.06,-56.84,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,max_position_error_m,difference,100,,-5.886909888378839e-05,-5.898648941379063e-05,-6.196904731114371e-05,-5.568674240480456e-05,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,rms_position_error_m,difference,100,,-3.386316958666901e-05,-3.4100405289405717e-05,-3.5781422008415736e-05,-3.2018679506073e-05,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,measurement_slots,difference,100,,-143.42,-140.0,-146.92049999999998,-139.9995,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,transmitter_uses,difference,100,,-573.68,-560.0,-587.52,-559.44,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,movement_m,difference,100,,-333.8469869752555,-315.193555967033,-374.27606133837196,-293.810058317903,10000,20260906,outputs/q1_3/robustness/trials.csv
exact,two_configuration_gain_1_minus_main,first_1cm_slot,conditional_first_event_difference,100,100,-85.95,-86.5,-88.87025,-82.97975000000001,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,final_below_1cm,rate_difference,100,,0.21,0.0,0.13,0.3,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,max_position_error_m,difference,100,,-0.0015835598856194608,-0.0010313791986348787,-0.0021646656865552723,-0.001032522668279926,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,rms_position_error_m,difference,100,,-0.0006234760500419776,-0.0004265349561338608,-0.0009368971636661003,-0.00032260391822002874,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_0.5_minus_main,movement_m,difference,100,,-343.1003290469614,-323.26066378785754,-382.70339101035285,-303.6938162656138,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,final_below_1cm,rate_difference,100,,-0.51,-1.0,-0.63,-0.39,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,max_position_error_m,difference,100,,0.005090969199734622,0.004498056705124471,0.004110461504470053,0.006057683175151026,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,rms_position_error_m,difference,100,,0.0030198197625234467,0.0028465681883200053,0.0024954230429063327,0.003534788455142419,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.001deg,two_configuration_gain_1_minus_main,movement_m,difference,100,,-312.78041236987895,-294.46617390863815,-352.48754462872654,-273.4178241662404,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,max_position_error_m,difference,100,,-0.01566030244376351,-0.009205954185237699,-0.021235298753014567,-0.01016490201710562,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,rms_position_error_m,difference,100,,-0.005671567083928517,-0.003839213525565221,-0.008730996545490729,-0.0027707220913544195,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_0.5_minus_main,movement_m,difference,100,,-338.41428972474364,-320.95386773991004,-377.5555158730468,-299.44553726603897,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,max_position_error_m,difference,100,,0.050832464887063146,0.052827272710085124,0.04080014797875965,0.061092453335831624,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,rms_position_error_m,difference,100,,0.030490079349338162,0.031791272605835696,0.02508983644910566,0.03588958472955311,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.01deg,two_configuration_gain_1_minus_main,movement_m,difference,100,,-126.49694660997291,-111.5434474972852,-166.65869146341723,-86.71234182632321,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,max_position_error_m,difference,100,,-0.15742449861781352,-0.09622062057125089,-0.21352666844158702,-0.10210739183667157,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,rms_position_error_m,difference,100,,-0.05685914014373153,-0.03889506705056078,-0.08719663056521498,-0.027479951210905674,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_0.5_minus_main,movement_m,difference,100,,-312.1622834732696,-308.6765299765376,-348.46389174088523,-276.686277073252,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,stopped,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,final_below_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,joint_success_1cm,rate_difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,max_position_error_m,difference,100,,0.5079507329363531,0.5344504519003578,0.4113848945281969,0.609099451184847,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,rms_position_error_m,difference,100,,0.30474623266073375,0.3211686572721385,0.25247500321799277,0.35775671012933336,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,measurement_slots,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
bearing_0.1deg,two_configuration_gain_1_minus_main,transmitter_uses,difference,100,,0.0,0.0,0.0,0.0,10000,20260906,outputs/q1_3/robustness/trials.csv
