condition,method,runs,stopped_count,stopped_rate,stopped_wilson95_low,stopped_wilson95_high,final_below_1cm_count,final_below_1cm_rate,final_below_1cm_wilson95_low,final_below_1cm_wilson95_high,joint_success_1cm_count,joint_success_1cm_rate,joint_success_1cm_wilson95_low,joint_success_1cm_wilson95_high,max_position_error_m_p05,max_position_error_m_median,max_position_error_m_p95,rms_position_error_m_p05,rms_position_error_m_median,rms_position_error_m_p95,measurement_slots_p05,measurement_slots_median,measurement_slots_p95,transmitter_uses_p05,transmitter_uses_median,transmitter_uses_p95,movement_m_p05,movement_m_median,movement_m_p95,first_1cm_count,first_1cm_median_among_hits,sustained_1cm_count,sustained_1cm_median_among_hits
exact,main,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,3.6823167066433234e-05,5.898650231792069e-05,8.684070416325994e-05,2.1220203286757833e-05,3.410040822974183e-05,4.9838645677727166e-05,168.0,196.0,224.0,672.0,784.0,896.0,148.30831337873332,401.38903208789793,739.0513688878109,100,98.0,100,98.0
exact,two_configuration_gain_0.5,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,1.0997735328887071e-06,1.640800558275997e-06,2.10295153987023e-06,5.028600932565983e-07,6.497950666299185e-07,7.944023126203097e-07,78.0,90.0,96.0,312.0,360.0,384.0,51.399795992373335,79.81874832234192,113.03008982659442,100,38.0,100,38.0
exact,two_configuration_gain_1,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,3.563638754810958e-13,4.206855410725364e-12,3.968828490485671e-11,2.2001899411270772e-13,2.157532300527408e-12,2.0522500398071816e-11,54.0,56.0,58.0,216.0,224.0,232.0,61.189694010297735,91.74095390161264,122.00588144562896,100,11.0,100,11.0
bearing_0.001deg,main,100,0,0.0,3.469446951953614e-18,0.03699349820698568,78,0.78,0.6892964648501421,0.8499871761539459,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0041698749825943215,0.0071988445105742585,0.013196816277723263,0.0025155521041910706,0.003972891221703318,0.0070436577431231785,560.0,560.0,560.0,2240.0,2240.0,2240.0,156.79301404599042,410.09882268723004,746.7023543316807,100,99.0,78,545.0
bearing_0.001deg,two_configuration_gain_0.5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,99,0.99,0.9455138038212946,0.9982325679358593,0,0.0,3.469446951953614e-18,0.03699349820698568,0.004138885947385205,0.006144025845653312,0.009025656428828872,0.002476089106071764,0.003628322604541363,0.005044111288998138,560.0,560.0,560.0,2240.0,2240.0,2240.0,60.53446429425779,88.86710034745474,122.17625733470634,100,40.0,99,529.0
bearing_0.001deg,two_configuration_gain_1,100,0,0.0,3.469446951953614e-18,0.03699349820698568,27,0.27,0.1926958414957634,0.36432116767944994,0,0.0,3.469446951953614e-18,0.03699349820698568,0.007904168256739577,0.012373708737379984,0.02059209250913006,0.004259796574405825,0.007064845555624866,0.010519918049408905,560.0,560.0,560.0,2240.0,2240.0,2240.0,89.92505609124363,120.54158919815995,151.43100456058858,100,14.0,27,560.0
bearing_0.01deg,main,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0.04247369408204973,0.07275040889122905,0.1362759993435515,0.025345691798784237,0.040934275780524124,0.0737882896120314,560.0,560.0,560.0,2240.0,2240.0,2240.0,235.4277088433099,490.0520761997504,823.471305719331,0,,0,
bearing_0.01deg,two_configuration_gain_0.5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0.04113691603173765,0.062021088765074894,0.09079450852596545,0.02668761226533402,0.0370289575941114,0.05208072953010534,560.0,560.0,560.0,2240.0,2240.0,2240.0,144.30715213261388,173.00235823890813,205.6505211530739,0,,0,
bearing_0.01deg,two_configuration_gain_1,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0827746412418244,0.12339263087793531,0.20273208640171925,0.04605888946774418,0.07106404532845645,0.1059910196202275,560.0,560.0,560.0,2240.0,2240.0,2240.0,355.12887928621615,386.8426738758401,418.1578985536172,0,,0,
bearing_0.1deg,main,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0.4254151296217316,0.7240337917464014,1.355893753397118,0.25267804422869616,0.4085697600161026,0.7427442661009559,560.0,560.0,560.0,2240.0,2240.0,2240.0,1091.2287510629565,1329.7148008867487,1637.1945104251922,0,,0,
