gain,condition,runs,stopped_count,stopped_rate,stopped_wilson95_low,stopped_wilson95_high,final_below_1cm_count,final_below_1cm_rate,final_below_1cm_wilson95_low,final_below_1cm_wilson95_high,final_below_1mm_count,final_below_1mm_rate,final_below_1mm_wilson95_low,final_below_1mm_wilson95_high,joint_success_1cm_count,joint_success_1cm_rate,joint_success_1cm_wilson95_low,joint_success_1cm_wilson95_high,joint_success_1mm_count,joint_success_1mm_rate,joint_success_1mm_wilson95_low,joint_success_1mm_wilson95_high,fit_failure_runs,budget_exhausted_runs,failed_local_fits_total,max_position_error_m_p05,max_position_error_m_median,max_position_error_m_p95,rms_position_error_m_p05,rms_position_error_m_median,rms_position_error_m_p95,measurement_slots_p05,measurement_slots_median,measurement_slots_p95,transmitter_uses_p05,transmitter_uses_median,transmitter_uses_p95,movement_m_p05,movement_m_median,movement_m_p95,first_1cm_count,first_1cm_denominator_runs,first_1cm_median_among_hits,sustained_1cm_count,sustained_1cm_denominator_runs,sustained_1cm_median_among_hits,record_stays_1cm_count,record_stays_1cm_denominator,first_1mm_count,first_1mm_denominator_runs,first_1mm_median_among_hits,sustained_1mm_count,sustained_1mm_denominator_runs,sustained_1mm_median_among_hits,record_stays_1mm_count,record_stays_1mm_denominator
0.5,exact,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,0,0,0,1.0997735328887071e-06,1.640800558275997e-06,2.10295153987023e-06,5.028600932565983e-07,6.497950666299185e-07,7.944023126203097e-07,78.0,90.0,96.0,312.0,360.0,384.0,51.399795992373335,79.81874832234192,113.03008982659442,100,100,38.0,100,100,38.0,99,100,100,100,47.0,100,100,47.0,100,100
0.5,bearing_0.001deg,100,0,0.0,3.469446951953614e-18,0.03699349820698568,99,0.99,0.9455138038212946,0.9982325679358593,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.004138885947385205,0.006144025845653312,0.009025656428828872,0.002476089106071764,0.003628322604541363,0.005044111288998138,560.0,560.0,560.0,2240.0,2240.0,2240.0,60.53446429425779,88.86710034745474,122.17625733470634,100,100,40.0,99,100,529.0,0,100,0,100,,0,100,,0,0
0.5,bearing_0.01deg,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.04113691603173765,0.062021088765074894,0.09079450852596545,0.02668761226533402,0.0370289575941114,0.05208072953010534,560.0,560.0,560.0,2240.0,2240.0,2240.0,144.30715213261388,173.00235823890813,205.6505211530739,0,100,,0,100,,0,0,0,100,,0,100,,0,0
0.5,bearing_0.1deg,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.4113147660048723,0.6189863202980275,0.9072594017221719,0.2669835420820637,0.3701685801715657,0.5166859492014739,560.0,560.0,560.0,2240.0,2240.0,2240.0,995.1690592746509,1028.1451063047552,1065.1031675733598,0,100,,0,100,,0,0,0,100,,0,100,,0,0
0.5,actuation_1pct,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,0,0,0,1.0759895004278607e-06,1.6175212252521098e-06,2.1487801389611573e-06,4.834243127912675e-07,6.517060237303444e-07,8.221668374759893e-07,78.0,90.0,96.0,312.0,360.0,384.0,51.479433275629816,79.96890873975963,113.04874547612985,100,100,38.0,100,100,38.0,100,100,100,100,47.0,100,100,47.0,99,100
0.5,combined_0.001deg_1pct,100,0,0.0,3.469446951953614e-18,0.03699349820698568,99,0.99,0.9455138038212946,0.9982325679358593,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.004139075727155452,0.00617358804091022,0.008882081521240572,0.0024503300976419394,0.0036403919849776097,0.0049849813570315695,560.0,560.0,560.0,2240.0,2240.0,2240.0,60.607383881720544,89.00657126016839,122.1990320173565,100,100,40.0,99,100,524.0,0,100,0,100,,0,100,,0,0
0.5,combined_0.01deg_1pct,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.04106086819087974,0.062012992372306716,0.08979646980178675,0.026498260208877245,0.037036079789161055,0.052079685726718734,560.0,560.0,560.0,2240.0,2240.0,2240.0,144.40238921863207,172.847192837772,205.70499761468292,0,100,,0,100,,0,0,0,100,,0,100,,0,0
0.5,link_bias_0.001deg,100,0,0.0,3.469446951953614e-18,0.03699349820698568,38,0.38,0.29097599252478734,0.47790244704488916,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.006636951136555462,0.011759805996311181,0.01953777390759108,0.0039558125563325455,0.00701009628957688,0.011458516241456598,560.0,560.0,560.0,2240.0,2240.0,2240.0,56.5481384765699,83.96887599287727,117.46476152212732,49,100,40.0,38,100,44.5,22,49,0,100,,0,100,,0,0
1.0,exact,100,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0,0,0,0,3.563638754810958e-13,4.206855410725364e-12,3.968828490485671e-11,2.2001899411270772e-13,2.157532300527408e-12,2.0522500398071816e-11,54.0,56.0,58.0,216.0,224.0,232.0,61.189694010297735,91.74095390161264,122.00588144562896,100,100,11.0,100,100,11.0,100,100,100,100,13.0,100,100,13.0,100,100
1.0,bearing_0.001deg,100,0,0.0,3.469446951953614e-18,0.03699349820698568,27,0.27,0.1926958414957634,0.36432116767944994,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568,0,100,0,0.007904168256739577,0.012373708737379984,0.02059209250913006,0.004259796574405825,0.007064845555624866,0.010519918049408905,560.0,560.0,560.0,2240.0,2240.0,2240.0,89.92505609124363,120.54158919815995,151.43100456058858,100,100,14.0,27,100,560.0,0,100,0,100,,0,100,,0,0
