gain,condition,random_runs,diagnostic_runs_available,diagnostic_runs_missing,diagnostic_file_runs_available,diagnostic_file_runs_missing,tail100_ratio_at_or_below_0.5_count,tail100_ratio_at_or_below_0.5_rate,tail100_small_count_after_max,tail100_local_decisions,tail100_nominal_selected_matches,tail100_nominal_selected_match_rate,tail100_holding_count,tail100_radial_clip_count,tail100_angular_clip_count
0.5,exact,100,0,100,0,100,,,,,,,,,
0.5,bearing_0.001deg,100,0,100,0,100,,,,,,,,,
0.5,bearing_0.01deg,100,0,100,0,100,,,,,,,,,
0.5,bearing_0.1deg,100,0,100,0,100,,,,,,,,,
0.5,actuation_1pct,100,0,100,0,100,,,,,,,,,
0.5,combined_0.001deg_1pct,100,100,0,100,0,45,0.00075,2.0,60000.0,56704.0,0.9450666666666667,0,0,0
0.5,combined_0.01deg_1pct,100,100,0,100,0,0,0.0,0.0,60000.0,50815.0,0.8469166666666667,0,0,0
0.5,link_bias_0.001deg,100,100,0,100,0,1100,0.018333333333333333,21.0,60000.0,55000.0,0.9166666666666666,1000.0,0,0
1.0,exact,100,100,0,100,0,26200,0.7728613569321534,21.0,33900.0,32763.0,0.9664601769911504,10200.0,664.0,449.0
1.0,bearing_0.001deg,100,100,0,100,0,14,0.00023333333333333333,1.0,60000.0,54850.0,0.9141666666666667,0,0,0
1.0,bearing_0.01deg,100,100,0,100,0,0,0.0,0.0,60000.0,50507.0,0.8417833333333333,0,0,0
1.0,bearing_0.1deg,100,100,0,100,0,0,0.0,0.0,60000.0,50045.0,0.8340833333333333,0,0,35.0
1.0,actuation_1pct,100,100,0,100,0,26182,0.7728775534301571,21.0,33876.0,32743.0,0.9665544928562995,10181.0,664.0,448.0
1.0,combined_0.001deg_1pct,100,100,0,100,0,13,0.00021666666666666666,1.0,60000.0,54854.0,0.9142333333333333,0,0,0
1.0,combined_0.01deg_1pct,100,100,0,100,0,0,0.0,0.0,60000.0,50504.0,0.8417333333333333,0,0,0
1.0,link_bias_0.001deg,100,100,0,100,0,1050,0.0175,21.0,60000.0,54950.0,0.9158333333333334,1000.0,0,0
