case,period_slots,local_hold_count,status,measurement_slots,transmitter_uses,endpoint_m,failed_fits,last_motion_slot,confirmation_slots_after_last_motion,final_max_error_m,peak_max_error_m,first_1cm_slot,uses_at_1cm,endpoint_at_1cm_m,stays_below_1cm,first_1mm_slot,uses_at_1mm,endpoint_at_1mm_m,stays_below_1mm
main_replay,28,21,quiet_full_selected_cycle,196,784,254.23378872280998,0,145,51,5.180445604679123e-05,12.01113974324003,92,368,254.12160021143538,True,113,452,254.22175776714965,True
candidate_1_forward,2,21,quiet_full_selected_cycle,84,336,64.83850568491054,0,82,2,1.5619488872821338e-06,12.01113974324003,31,124,64.78127542635883,True,41,164,64.83413913534511,True
candidate_1_reverse,2,21,quiet_full_selected_cycle,90,360,72.78335372861548,0,87,3,1.088619033215188e-06,12.01113974324003,37,148,72.7252883660712,True,46,184,72.77791364658016,True
candidate_2_forward,2,21,budget_exhausted,196,784,274.90479191885055,0,196,0,5.636704260565431e-06,12.01113974324003,151,604,274.76006016677843,True,175,700,274.90109974408216,False
candidate_2_reverse,2,21,budget_exhausted,196,784,234.53963868831792,0,196,0,1.6390220599392606e-06,12.01113974324003,148,592,234.39792477663752,True,172,688,234.53601693300476,False
candidate_3_forward,2,21,quiet_full_selected_cycle,84,336,72.6125026095535,0,82,2,8.132567655521597e-07,12.01113974324003,31,124,72.56159831160166,True,40,160,72.60848213466865,True
candidate_3_reverse,2,21,quiet_full_selected_cycle,90,360,85.14127486354978,0,87,3,9.983679374521404e-07,12.01113974324003,38,152,85.10526871615025,True,46,184,85.13743843865444,True
reflected_table1_candidate,2,21,quiet_full_selected_cycle,84,336,64.62660128471137,0,82,2,1.7204546576058412e-06,12.008753525324888,32,128,64.57355989898761,True,41,164,64.6217934252986,True
reflected_table1_main,28,21,quiet_full_selected_cycle,196,784,263.7118401781219,0,144,52,5.71204516652275e-05,12.008753525324888,82,328,263.56318292824005,True,107,428,263.70244319628074,True
half_table1_candidate,2,21,quiet_full_selected_cycle,80,320,32.361171432784644,0,78,2,1.5934543870699477e-06,6.005271624468524,27,108,32.302398779286996,True,37,148,32.356700105484805,True
half_table1_main,28,21,quiet_full_selected_cycle,168,672,137.22281802600256,0,136,32,6.149199992110678e-05,6.005271624468524,79,316,137.0958248245656,True,104,416,137.2129582003826,True
