phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
14,26,0-1-4-5,0-1-7-8,0.5000215284575131,0.7071220039409841,1.1057169539076162,0.9508066564226073
15,26,0-1-4-6,0-1-7-8,0.5000379585546093,0.7071336214285171,1.1159497990288503,1.0478774906970025
14,27,0-1-4-5,0-1-7-9,0.5000019568810823,0.7071081649090769,1.2066600548899613,1.097484271779068
11,14,0-1-3-7,0-1-4-5,0.5000000094436852,0.7071067878642413,1.2094323773343165,1.1455624589326567
17,23,0-1-4-8,0-1-6-7,0.5000119330853139,0.7071152191017486,1.2094323773343163,1.1455624589326576
5,17,0-1-2-7,0-1-4-8,0.5000013529479564,0.7071077378645749,1.2823216754416085,1.1615997598451981
15,27,0-1-4-6,0-1-7-9,0.5000451324189618,0.7071386939059139,1.2301497606539091,1.1659895177669315
5,14,0-1-2-7,0-1-4-5,0.5000023035445075,0.7071084100366135,1.2769364368290634,1.1738467232065506
18,23,0-1-4-9,0-1-6-7,0.5000266842074724,0.707125649518862,1.2769364368290645,1.1738467232065508
23,28,0-1-6-7,0-1-8-9,0.5000162447183446,0.7071182678437494,1.2839613709361182,1.1908910971673996
11,17,0-1-3-7,0-1-4-8,0.5000017926748123,0.7071080487979275,1.2470598582583894,1.2021297321000854
5,8,0-1-2-7,0-1-3-4,0.5000022793659828,0.707108392939854,1.273354164479779,1.2054347038904798
18,26,0-1-4-9,0-1-7-8,0.5000095259374849,0.7071135170094579,1.2733541644797797,1.2054347038904798
19,28,0-1-5-6,0-1-8-9,0.5000017146092661,0.7071079935973473,1.299474722653078,1.2136971260801788
11,18,0-1-3-7,0-1-4-9,0.5000013191906942,0.7071077139946178,1.251824651104049,1.2150508724935427
5,15,0-1-2-7,0-1-4-6,0.5000021157526746,0.7071082772480284,1.3465597927133819,1.2402053781172566
11,15,0-1-3-7,0-1-4-6,0.5000014123409107,0.7071077798616776,1.2827817457603539,1.2513974788301496
17,20,0-1-4-8,0-1-5-7,0.5000061477176924,0.7071111282660544,1.2827817457603539,1.2513974788301498
14,28,0-1-4-5,0-1-8-9,0.5000000013005371,0.7071067821061662,1.3295997773923225,1.268901364451077
8,23,0-1-3-4,0-1-6-7,0.5000005952223916,0.7071072020722117,1.4077018643572492,1.2838485217910773
15,20,0-1-4-6,0-1-5-7,0.5000373379258646,0.7071331825942441,1.399867419583786,1.2864390628989533
2,23,0-1-2-4,0-1-6-7,0.5000005952223916,0.7071072020722117,1.4212607391181695,1.2919769844993494
17,27,0-1-4-8,0-1-7-9,0.5000000422402434,0.7071068110549095,1.2808408364703556,1.296967784444096
2,26,0-1-2-4,0-1-7-8,0.5000008609087154,0.7071073899406761,1.4100577046300813,1.3005546900282496
8,26,0-1-3-4,0-1-7-8,0.5000008609087154,0.7071073899406761,1.4125962171014173,1.3035079081498324
9,28,0-1-3-5,0-1-8-9,0.500000007501612,0.7071067864909882,1.341511950932547,1.3118893511060523
4,28,0-1-2-6,0-1-8-9,0.5000000070250364,0.7071067861539985,1.3284700932116413,1.3122143720846273
5,18,0-1-2-7,0-1-4-9,0.5000199349623077,0.7071208771930777,1.330539884154605,1.3165059943176043
15,28,0-1-4-6,0-1-8-9,0.5000010131443967,0.7071074975874578,1.3400952865982907,1.3288662350800036
2,27,0-1-2-4,0-1-7-9,0.5000001783885607,0.7071069073262972,1.4614110921978463,1.3415790390339937
8,27,0-1-3-4,0-1-7-9,0.5000001783885607,0.7071069073262972,1.465652806205753,1.34611073211407
10,28,0-1-3-6,0-1-8-9,0.5000000000000002,0.7071067811865477,1.3444559651347567,1.3608455281112632
8,20,0-1-3-4,0-1-5-7,0.5000017691569317,0.7071080321683043,1.4566918872706613,1.373192922003087
2,20,0-1-2-4,0-1-5-7,0.5000017691569317,0.7071080321683043,1.4790783124035447,1.3752218509580585
2,11,0-1-2-4,0-1-3-7,0.5000000129099382,0.7071067903152524,1.4274204377849613,1.414792037054218
17,25,0-1-4-8,0-1-6-9,0.5000236695510201,0.7071235178885087,1.3969054821022597,1.4400287578058866
1,20,0-1-2-3,0-1-5-7,0.500048524949469,0.7071410926749124,1.8004696382330454,1.5097574555190159
1,19,0-1-2-3,0-1-5-6,0.5000408093237377,0.707135637147314,1.7497667600952864,1.546834482043093
1,23,0-1-2-3,0-1-6-7,0.5000000057584778,0.7071067852584062,1.7695398447072843,1.5684124178819705
1,22,0-1-2-3,0-1-5-9,0.5000420607794438,0.707136522023466,1.7295903151738987,1.6165439761512095
24,27,0-1-6-8,0-1-7-9,0.5000330740354161,0.7071301676745351,1.75588634715022,1.6580270233548549
1,14,0-1-2-3,0-1-4-5,0.5000240242876833,0.7071237687192273,1.6498918812136478,1.669951141454477
1,24,0-1-2-3,0-1-6-8,0.5000000000000007,0.707106781186548,1.8752630662285088,1.6747819133948187
1,21,0-1-2-3,0-1-5-8,0.5000376483158411,0.7071334020648729,1.8829638395637551,1.6937353766570222
18,20,0-1-4-9,0-1-5-7,0.5000575871086008,0.7071475002491353,1.3465597927133837,1.2402053781172568
21,27,0-1-5-8,0-1-7-9,0.500140754340591,0.7072063025317231,1.476979283068804,1.4942167816932015
3,11,0-1-2-5,0-1-3-7,0.5002982157828748,0.7073176201558072,1.2835922906293156,1.2029387354922123
17,19,0-1-4-8,0-1-5-6,0.500373362570059,0.7073707391248659,1.2490550309204458,1.1953961856001518
2,10,0-1-2-4,0-1-3-6,0.5003700074438859,0.7073683675737034,1.6446575221612227,1.6546908090144428
