sigma_each_angle_deg,apex_budget_d,planned_checks,family_error_probability,samples_per_angle_best_centered,one_check_measurement_slots,one_check_tx_uses,angle_mean_interval_half_width_deg,best_centered_exact_apex_radius_d
0.01,0.0048,1,0.01,1,2,4,0.028070337683438116,0.003922687490898191
0.01,0.0048,30,0.01,2,4,8,0.026621323325569254,0.0037200319554009376
0.01,0.005,1,0.01,1,2,4,0.028070337683438116,0.003922687490898191
0.01,0.005,30,0.01,2,4,8,0.026621323325569254,0.0037200319554009376
0.05,0.0048,1,0.01,17,34,68,0.03404028447516797,0.004757816870737397
0.05,0.0048,30,0.01,31,62,124,0.033809114432604294,0.004725473126612645
0.05,0.005,1,0.01,16,32,64,0.03508792210429765,0.004904400895208827
0.05,0.005,30,0.01,28,56,112,0.03557423966671915,0.004972448943373564
0.1,0.0048,1,0.01,67,134,268,0.034293375576794904,0.004793228179838849
0.1,0.0048,30,0.01,121,242,484,0.034225669541217515,0.00478375501861894
0.1,0.005,1,0.01,62,124,248,0.03564936450734874,0.004982960975135509
0.1,0.005,30,0.01,111,222,444,0.035734124695532304,0.004994821314479925
