configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
1-2-3,36,6,30,24,24,24,1.6751569221813432e-16,7.973147471153865e-17,24,24,24,9.921477112112281e-17
1-2-4,36,6,30,20,20,20,2.763605919431254e-17,1.683010156874569e-17,20,20,20,1.0329360091204574e-16
1-2-5,36,6,30,24,24,24,1.673158369505989e-16,8.301433009473674e-17,24,24,24,8.780487475046154e-17
1-2-6,36,6,30,24,24,24,8.120505232919361e-17,5.817259079113369e-17,24,24,24,8.482591759221731e-17
1-2-7,36,6,30,20,20,20,5.0382609098538183e-17,3.860964698284327e-17,20,20,20,9.133366983009694e-17
1-2-8,36,3,33,24,24,24,2.005140601694045e-16,1.521206207165824e-16,24,24,24,7.79734811346121e-17
1-2-9,36,5,31,24,24,24,2.429743410405427e-16,1.1062548940251235e-16,24,24,24,7.844315471053238e-17
1-2-10,36,6,30,24,24,24,1.479713074994483e-16,1.0976385862538961e-16,24,24,24,7.588833268694506e-17
1-2-11,36,6,30,20,20,20,5.0019095855883656e-17,4.092517698276212e-17,20,20,20,1.0180525355600103e-16
1-2-12,36,3,33,24,24,24,1.943814174692366e-16,1.4783099208529148e-16,24,24,24,7.949607431289831e-17
1-2-13,36,4,32,24,24,24,1.8294934578000541e-16,1.3678202336038755e-16,24,24,24,6.693553533424749e-17
1-2-14,36,5,31,24,24,24,1.924766339783773e-16,7.738113751162158e-17,24,24,24,8.021856310401053e-17
1-2-15,36,6,30,24,24,24,2.0796874722585963e-16,1.2574381813397884e-16,24,24,24,8.480167134460937e-17
1-3-4,36,6,30,24,24,24,1.6811143383058857e-16,1.118700046015252e-16,24,24,24,8.778963513926806e-17
1-3-5,36,6,30,24,24,24,1.2219422320683724e-16,8.70116469587503e-17,24,24,24,9.573647330517747e-17
1-3-6,36,6,30,20,20,20,1.6131959656052354e-17,2.5509483819296748e-18,20,20,20,1.097531138681099e-16
1-3-7,36,6,30,24,24,24,1.0215847948947206e-16,7.61877517506488e-17,24,24,24,8.270289825496108e-17
1-3-8,36,5,31,24,24,24,2.37524078461461e-16,1.454636728714134e-16,24,24,24,8.446051154839242e-17
1-3-9,36,3,33,24,24,24,3.5550220241566343e-16,1.2350435202079334e-16,24,24,24,8.194051662612967e-17
1-3-10,36,6,30,20,20,20,3.152805376311823e-17,2.492447690525748e-17,20,20,20,1.0033972213440966e-16
1-3-11,36,6,30,24,24,24,1.8440567863353572e-16,1.6361388920253223e-16,24,24,24,9.405472130644955e-17
1-3-12,36,5,31,24,24,24,1.8898215851902505e-16,1.2883282349386968e-16,24,24,24,8.319184249560134e-17
1-3-13,36,4,32,24,24,24,1.605705984914652e-16,1.090290616159096e-16,24,24,24,7.335756355314777e-17
1-3-14,36,3,33,24,24,24,2.0415153823595003e-16,1.696508826658112e-16,24,24,24,8.383351482579243e-17
1-3-15,36,6,30,20,20,20,3.6145489456025147e-17,2.3157533675808005e-17,20,20,20,1.053476282471417e-16
1-4-5,36,5,31,24,24,24,2.7654595607930294e-16,1.0056503202606935e-16,24,24,24,9.011877801519946e-17
1-4-6,36,7,29,24,24,24,1.5047228894977046e-16,9.610319748711343e-17,24,24,24,9.367588124999561e-17
1-4-7,36,6,30,20,20,20,6.346388540466292e-17,4.5225244809926975e-17,20,20,20,9.711199088662661e-17
1-4-8,36,4,32,24,24,24,1.704731061790427e-16,1.3369449396483474e-16,24,24,24,8.555234710522112e-17
1-4-9,36,4,32,24,24,24,2.1936614459021637e-16,1.7209198688789446e-16,24,24,24,7.827471272102373e-17
1-4-10,36,6,30,24,24,24,1.9569852515597523e-16,1.47408929756162e-16,24,24,24,8.021433790692842e-17
1-4-11,36,6,30,20,20,20,8.609514645628515e-17,6.706905262985114e-17,20,20,20,1.0119486346152047e-16
1-4-12,36,3,33,24,24,24,2.3433009445571855e-16,1.5840682381163247e-16,24,24,24,8.470858398053994e-17
1-4-13,36,5,31,24,24,24,2.5570369141256093e-16,1.706135404902133e-16,24,24,24,7.749003228801425e-17
1-4-14,36,3,33,24,24,24,2.2115445903026198e-16,1.5957781522848352e-16,24,24,24,8.092038408427235e-17
1-4-15,36,7,29,24,24,24,1.889467633752019e-16,1.54665870287878e-16,24,24,24,8.672108938518297e-17
1-5-6,36,5,31,24,24,24,2.5314936784025947e-16,8.664813230646877e-17,24,24,24,8.987009539158337e-17
1-5-7,36,4,32,24,24,24,1.940081963298297e-16,1.147037476016611e-16,24,24,24,7.833769309287117e-17
1-5-8,36,3,33,24,24,24,2.786701661973249e-16,1.0596109670585813e-16,24,24,24,8.132960082293904e-17
1-5-9,36,3,33,24,24,24,2.1308768600574522e-16,1.168105946704887e-16,24,24,24,8.173503117867075e-17
1-5-10,36,4,32,24,24,24,2.0659490633838915e-16,1.562315532049385e-16,24,24,24,7.724218508575242e-17
1-5-11,36,4,32,24,24,24,2.421300225829812e-16,1.426649612609517e-16,24,24,24,8.261486384883021e-17
1-5-12,36,3,33,24,24,24,2.128893356104576e-16,1.270954041735497e-16,24,24,24,8.28245739437604e-17
1-5-13,36,0,36,24,24,24,3.5184476534116503e-16,2.432012388855682e-16,24,24,24,7.136247175446542e-17
1-5-14,36,3,33,24,24,24,2.3705385387277695e-16,1.5203437636820645e-16,24,24,24,8.229664652177379e-17
1-5-15,36,4,32,24,24,24,2.5753421449365897e-16,1.7794933242175073e-16,24,24,24,7.974433745455205e-17
1-6-7,36,6,30,24,24,24,2.022711135490055e-16,1.2086814274898976e-16,24,24,24,7.984235207212513e-17
1-6-8,36,4,32,24,24,24,3.0234670027763513e-16,1.957027747603834e-16,24,24,24,7.643882899799095e-17
1-6-9,36,4,32,24,24,24,1.5291223922644378e-16,1.0210562536097512e-16,24,24,24,8.660230069967893e-17
1-6-10,36,6,30,20,20,20,6.273948951637194e-17,3.7236451077900626e-17,20,20,20,9.667250747704237e-17
1-6-11,36,7,29,24,24,24,2.322403866563227e-16,1.0040589169951127e-16,24,24,24,8.741953554531596e-17
1-6-12,36,3,33,24,24,24,2.3980437720790287e-16,1.9973263293111753e-16,24,24,24,7.93868302872532e-17
1-6-13,36,5,31,24,24,24,1.917725363238174e-16,1.2194139560943325e-16,24,24,24,7.711516504002079e-17
1-6-14,36,3,33,24,24,24,2.6987544031552626e-16,1.9091454520956216e-16,24,24,24,8.347396268416056e-17
1-6-15,36,6,30,20,20,20,4.891407712853886e-17,4.3544598928361665e-17,20,20,20,9.965852509705035e-17
1-7-8,36,5,31,24,24,24,1.9787240904922772e-16,1.3904228911402666e-16,24,24,24,8.472835026054743e-17
1-7-9,36,5,31,24,24,24,2.4589787633183145e-16,1.427695929399646e-16,24,24,24,8.031783352562719e-17
1-7-10,36,8,28,24,24,24,2.0367977832546546e-16,9.904405770946547e-17,24,24,24,8.16139152203968e-17
1-7-11,36,6,30,20,20,20,6.508394110618089e-17,5.1075438982910816e-17,20,20,20,1.0037267780399301e-16
1-7-12,36,3,33,24,24,24,1.3951969945450966e-16,9.219943494471508e-17,24,24,24,9.209610520579842e-17
1-7-13,36,4,32,24,24,24,2.0809369451925749e-16,1.70094526267672e-16,24,24,24,7.187268731365525e-17
1-7-14,36,3,33,24,24,24,2.1907480385905033e-16,1.8860887655686845e-16,24,24,24,7.852190171089867e-17
1-7-15,36,6,30,24,24,24,1.670825288855143e-16,1.4458548559401002e-16,24,24,24,8.255220065660066e-17
1-8-9,36,2,34,24,24,24,3.459964967948242e-16,1.827040990781996e-16,24,24,24,7.993560377894179e-17
1-8-10,36,5,31,24,24,24,2.1860936296245337e-16,1.9064391457239278e-16,24,24,24,7.848921353090297e-17
1-8-11,36,4,32,24,24,24,1.9548137001348434e-16,1.3292951629308508e-16,24,24,24,8.265017377433392e-17
1-8-12,36,2,34,24,24,24,1.9056908684871062e-16,1.7036715654801917e-16,24,24,24,8.498654895551289e-17
