configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
1-2-3,36,0,36,24,24,24,1.698678554493233e-16,8.33458801366302e-17,24,24,24,4.601200584449969e-17,0.013,20260906
1-2-4,36,0,36,24,24,24,1.5640317114207814e-16,1.130747924223129e-16,24,24,24,4.8801410645891377e-17,0.013,20260906
1-2-5,36,0,36,24,24,24,2.0134636403185847e-16,1.183258609854397e-16,24,24,24,4.029633790090253e-17,0.013,20260906
1-2-6,36,0,36,24,24,24,3.69146393757232e-16,1.5538847843715924e-16,24,24,24,4.457006569173269e-17,0.013,20260906
1-2-7,36,0,36,24,24,24,1.8686754521359545e-16,1.5580692251007866e-16,24,24,24,5.867018608613799e-17,0.013,20260906
1-2-8,36,0,36,24,24,24,2.524052501808535e-16,1.7059441563056277e-16,24,24,24,4.577454506953594e-17,0.013,20260906
1-2-9,36,0,36,24,24,24,2.924576514830474e-16,1.9499315850154652e-16,24,24,24,4.42746692983959e-17,0.013,20260906
1-2-10,36,0,36,24,24,24,3.676142423527935e-16,2.0453341962996612e-16,24,24,24,5.027921168527394e-17,0.013,20260906
1-2-11,36,0,36,24,24,24,2.654873739280133e-16,2.257116276809722e-16,24,24,24,4.714997710541524e-17,0.013,20260906
1-2-12,36,0,36,24,24,24,2.8409374270491255e-16,1.9651126904071307e-16,24,24,24,5.221344494546518e-17,0.013,20260906
1-2-13,36,0,36,24,24,24,2.3329741212047743e-16,2.0721507040389084e-16,24,24,24,4.134625433992854e-17,0.013,20260906
1-2-14,36,0,36,24,24,24,2.600776696396138e-16,2.0352261686056315e-16,24,24,24,5.30618202831191e-17,0.013,20260906
1-2-15,36,0,36,24,24,24,2.5042346977434624e-16,1.5879952535978035e-16,24,24,24,5.170268537800271e-17,0.013,20260906
1-3-4,36,0,36,24,24,24,2.6672015545571883e-16,1.3748001173390568e-16,24,24,24,4.3868637086295534e-17,0.013,20260906
1-3-5,36,0,36,24,24,24,2.0453122147353574e-16,1.5183076613802209e-16,24,24,24,4.0884888981763007e-17,0.013,20260906
1-3-6,36,0,36,24,24,24,1.8343779176900067e-16,5.4113505472678586e-17,24,24,24,5.434763114441715e-17,0.013,20260906
1-3-7,36,0,36,24,24,24,2.2479252358211915e-16,1.7722836821932323e-16,24,24,24,5.984156746268264e-17,0.013,20260906
1-3-8,36,0,36,24,24,24,2.5338877646058616e-16,1.3925660760927226e-16,24,24,24,4.305907004856097e-17,0.013,20260906
1-3-9,36,0,36,24,24,24,3.1430587262348235e-16,1.7010006212516555e-16,24,24,24,4.326826011059801e-17,0.013,20260906
1-3-10,36,0,36,24,24,24,2.050905092254459e-16,1.5904945858286514e-16,24,24,24,5.190909599858228e-17,0.013,20260906
1-3-11,36,0,36,24,24,24,2.250539135277823e-16,2.0738161236079007e-16,24,24,24,4.717511370849603e-17,0.013,20260906
1-3-12,36,0,36,24,24,24,4.584550863647741e-16,2.4568633943602877e-16,24,24,24,5.382416700464172e-17,0.013,20260906
1-3-13,36,0,36,24,24,24,1.9208592689297168e-16,1.8551661515877117e-16,24,24,24,4.119579061123503e-17,0.013,20260906
1-3-14,36,0,36,24,24,24,2.434674182933892e-16,2.2027951900207997e-16,24,24,24,5.441343714624182e-17,0.013,20260906
1-3-15,36,0,36,24,24,24,1.7093380275997271e-16,1.6644930870787352e-16,24,24,24,4.636163600034546e-17,0.013,20260906
1-4-5,36,0,36,24,24,24,3.677942399626325e-16,2.2464642134871935e-16,24,24,24,4.074074812795706e-17,0.013,20260906
1-4-6,36,0,36,24,24,24,3.559043472418632e-16,2.3511781502858123e-16,24,24,24,4.884013146742243e-17,0.013,20260906
1-4-7,36,0,36,24,24,24,1.9888509843158387e-16,1.4514962876106882e-16,24,24,24,6.334878949954019e-17,0.013,20260906
1-4-8,36,0,36,24,24,24,2.726301470512652e-16,2.0505486119818965e-16,24,24,24,4.885380193757898e-17,0.013,20260906
1-4-9,36,0,36,24,24,24,3.2183120010560025e-16,2.383917604177313e-16,24,24,24,4.394268015476637e-17,0.013,20260906
1-4-10,36,0,36,24,24,24,3.157808537046825e-16,2.370833474282574e-16,24,24,24,5.021584890296732e-17,0.013,20260906
1-4-11,36,0,36,24,24,24,2.0254349243334256e-16,1.7344730917377714e-16,24,24,24,4.7340345726890096e-17,0.013,20260906
1-4-12,36,0,36,24,24,24,2.774861798147909e-16,1.935439824369191e-16,24,24,24,5.406981902451307e-17,0.013,20260906
1-4-13,36,0,36,24,24,24,3.1251140773223554e-16,2.3380993017429996e-16,24,24,24,4.519122954195033e-17,0.013,20260906
1-4-14,36,0,36,24,24,24,2.8628964134729675e-16,2.233557403357775e-16,24,24,24,5.3066587609063844e-17,0.013,20260906
1-4-15,36,0,36,24,24,24,2.7709927906652106e-16,2.394880711372329e-16,24,24,24,4.769220273162801e-17,0.013,20260906
1-5-6,36,0,36,24,24,24,2.4735374753394136e-16,2.0928809466825736e-16,24,24,24,4.5438344799003684e-17,0.013,20260906
1-5-7,36,0,36,24,24,24,3.326089627813872e-16,2.215593739142834e-16,24,24,24,5.3285618052243e-17,0.013,20260906
1-5-8,36,0,36,24,24,24,3.1553188809736347e-16,1.739290574816665e-16,24,24,24,4.414849036778438e-17,0.013,20260906
1-5-9,36,0,36,24,24,24,2.648948623475376e-16,1.7385860664082815e-16,24,24,24,3.994869628673185e-17,0.013,20260906
1-5-10,36,0,36,24,24,24,2.4150456978171193e-16,1.6816152856595463e-16,24,24,24,4.835597276799318e-17,0.013,20260906
1-5-11,36,0,36,24,24,24,2.7554289006095243e-16,2.428869046395421e-16,24,24,24,4.06872125954028e-17,0.013,20260906
1-5-12,36,0,36,24,24,24,2.896569582859004e-16,1.7570838799969262e-16,24,24,24,4.703689345433842e-17,0.013,20260906
1-5-13,36,0,36,24,24,24,3.8897715688935064e-16,1.9217146030091209e-16,24,24,24,3.940933730665221e-17,0.013,20260906
1-5-14,36,0,36,24,24,24,3.640859455426309e-16,2.3422183579586935e-16,24,24,24,4.854971901821244e-17,0.013,20260906
1-5-15,36,0,36,24,24,24,2.648462006855983e-16,1.8847298781784842e-16,24,24,24,4.3743019773083675e-17,0.013,20260906
1-6-7,36,0,36,24,24,24,2.7429583441414855e-16,1.5883195768597998e-16,24,24,24,5.513129771641942e-17,0.013,20260906
1-6-8,36,0,36,24,24,24,2.87756687349093e-16,1.793725849781476e-16,24,24,24,4.6110790104483836e-17,0.013,20260906
1-6-9,36,0,36,24,24,24,1.997607586030033e-16,1.533296564556459e-16,24,24,24,4.861306148257418e-17,0.013,20260906
1-6-10,36,0,36,24,24,24,2.3926445543550797e-16,1.255865435127793e-16,24,24,24,5.2840004746207113e-17,0.013,20260906
