configuration_a,configuration_b,level,seed,rank_1e-08,rank_1e-09,rank_1e-10,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,shape_sigma_min,gauge_residual
1-11-15,2-7-10,0.001,11,26,26,26,26,26,26,0.2740466589662478,6.210704657805374e-17
1-11-15,2-7-10,0.001,23,26,26,26,26,26,26,0.2741253564569998,6.187529976841423e-17
1-11-15,2-7-10,0.001,47,26,26,26,26,26,26,0.2740992355259433,6.223505470452854e-17
1-11-15,2-7-10,0.01,11,26,26,26,26,26,26,0.27353128065162235,5.278320696926118e-17
1-11-15,2-7-10,0.01,23,26,26,26,26,26,26,0.2743269270505417,6.599001033472586e-17
1-11-15,2-7-10,0.01,47,26,26,26,26,26,26,0.27405169212336467,5.005376182737559e-17
1-2-3,1-2-4,0.001,11,26,26,26,26,26,26,0.05859639989889787,8.861584424037457e-17
1-2-3,1-2-4,0.001,23,26,26,26,26,26,26,0.05862947913541271,8.243287950139385e-17
1-2-3,1-2-4,0.001,47,26,26,26,26,26,26,0.05863126799571757,6.878773063889286e-17
1-2-3,1-2-4,0.01,11,26,26,26,26,26,26,0.058903039980760144,5.59798204984348e-17
1-2-3,1-2-4,0.01,23,26,26,26,26,26,26,0.05923892893791514,9.171417140155489e-17
1-2-3,1-2-4,0.01,47,26,26,26,26,26,26,0.059256423481733066,6.111954463058302e-17
1-2-3,1-2-5,0.001,11,26,26,26,26,26,26,0.1113338956446049,7.905289711914421e-17
1-2-3,1-2-5,0.001,23,26,26,26,26,26,26,0.11150151789057534,8.230391775958136e-17
1-2-3,1-2-5,0.001,47,26,26,26,26,26,26,0.11154238373702405,6.195995451013345e-17
1-2-3,1-2-5,0.01,11,26,26,26,26,26,26,0.11049404448049943,5.484158190845484e-17
1-2-3,1-2-5,0.01,23,26,26,26,26,26,26,0.11216484797498405,8.35839019250695e-17
1-2-3,1-2-5,0.01,47,26,26,26,26,26,26,0.11259589817519818,5.4348752626744723e-17
