sigma_theta_deg,eta_c,eta_r,n_bootstrap,n_main,initial_receiver_error_rms_d,theory_reference_rms_d,theory_receiver_rms_d,shared_reference_covariance_trace_d2,white_noise_steady_multiplier_eta_c,white_noise_steady_multiplier_eta_r
0.01,0.25,0.25,8,18,0.04,0.010020467465904462,0.007305727346824843,1.8381065906435509e-07,0.14285714285714285,0.14285714285714285
0.01,0.25,0.5,8,18,0.04,0.010020467465904462,0.0073904330439282075,1.8381065906435509e-07,0.14285714285714285,0.3333333333333333
0.01,0.25,0.75,8,18,0.04,0.010020467465904462,0.0073958575862010465,1.8381065906435509e-07,0.14285714285714285,0.6
0.01,0.25,1.0,8,18,0.04,0.010020467465904462,0.007403901606801048,1.8381065906435509e-07,0.14285714285714285,1.0
0.01,0.5,0.25,8,18,0.04,0.0007653854869936867,0.0005297682445675817,4.3322705307556304e-07,0.3333333333333333,0.14285714285714285
0.01,0.5,0.5,8,18,0.04,0.0007653854869936867,0.0005597680003467554,4.3322705307556304e-07,0.3333333333333333,0.3333333333333333
0.01,0.5,0.75,8,18,0.04,0.0007653854869936867,0.0006266776241173357,4.3322705307556304e-07,0.3333333333333333,0.6
0.01,0.5,1.0,8,18,0.04,0.0007653854869936867,0.0007153840991025126,4.3322705307556304e-07,0.3333333333333333,1.0
0.01,0.75,0.25,8,18,0.04,0.0008830758307069922,0.0005716999003457662,7.798205944724077e-07,0.6,0.14285714285714285
0.01,0.75,0.5,8,18,0.04,0.0008830758307069922,0.0005791615032660995,7.798205944724077e-07,0.6,0.3333333333333333
0.01,0.75,0.75,8,18,0.04,0.0008830758307069922,0.0006440467896228218,7.798205944724077e-07,0.6,0.6
0.01,0.75,1.0,8,18,0.04,0.0008830758307069922,0.0007306475428277497,7.798205944724077e-07,0.6,1.0
0.01,1.0,0.25,8,18,0.04,0.0011400442934772124,0.0006947264574857694,1.2997009910899565e-06,1.0,0.14285714285714285
0.01,1.0,0.5,8,18,0.04,0.0011400442934772124,0.0007020727041971938,1.2997009910899565e-06,1.0,0.3333333333333333
0.01,1.0,0.75,8,18,0.04,0.0011400442934772124,0.0007564888887401703,1.2997009910899565e-06,1.0,0.6
0.01,1.0,1.0,8,18,0.04,0.0011400442934772124,0.0008314595621005499,1.2997009910899565e-06,1.0,1.0
0.05,0.25,0.25,8,18,0.04,0.01023822367663426,0.0074642697602279075,4.595266476608876e-06,0.14285714285714285,0.14285714285714285
0.05,0.25,0.5,8,18,0.04,0.01023822367663426,0.0076377866666446585,4.595266476608876e-06,0.14285714285714285,0.3333333333333333
0.05,0.25,0.75,8,18,0.04,0.01023822367663426,0.007766646461161577,4.595266476608876e-06,0.14285714285714285,0.6
0.05,0.25,1.0,8,18,0.04,0.01023822367663426,0.007955943462039403,4.595266476608876e-06,0.14285714285714285,1.0
0.05,0.5,0.25,8,18,0.04,0.0033141008158343757,0.0021012365312230038,1.0830676326889073e-05,0.3333333333333333,0.14285714285714285
0.05,0.5,0.5,8,18,0.04,0.0033141008158343757,0.0024174093887950753,1.0830676326889073e-05,0.3333333333333333,0.3333333333333333
0.05,0.5,0.75,8,18,0.04,0.0033141008158343757,0.002797868804337356,1.0830676326889073e-05,0.3333333333333333,0.6
0.05,0.5,1.0,8,18,0.04,0.0033141008158343757,0.0032869908672958897,1.0830676326889073e-05,0.3333333333333333,1.0
0.05,0.75,0.25,8,18,0.04,0.004415372825721133,0.0026368134944269785,1.9495514861810187e-05,0.6,0.14285714285714285
0.05,0.75,0.5,8,18,0.04,0.004415372825721133,0.002895802446236064,1.9495514861810187e-05,0.6,0.3333333333333333
0.05,0.75,0.75,8,18,0.04,0.004415372825721133,0.0032202292332720642,1.9495514861810187e-05,0.6,0.6
0.05,0.75,1.0,8,18,0.04,0.004415372825721133,0.0036532335581280816,1.9495514861810187e-05,0.6,1.0
0.05,1.0,0.25,8,18,0.04,0.005700221467386061,0.003293269544960217,3.2492524777248905e-05,1.0,0.14285714285714285
0.05,1.0,0.5,8,18,0.04,0.005700221467386061,0.0035103634413939907,3.2492524777248905e-05,1.0,0.3333333333333333
0.05,1.0,0.75,8,18,0.04,0.005700221467386061,0.0037824444437008515,3.2492524777248905e-05,1.0,0.6
0.05,1.0,1.0,8,18,0.04,0.005700221467386061,0.004157297810502749,3.2492524777248905e-05,1.0,1.0
0.1,0.25,0.25,8,18,0.04,0.010890685170484957,0.007939335292629456,1.8381065906435504e-05,0.14285714285714285,0.14285714285714285
0.1,0.25,0.5,8,18,0.04,0.010890685170484957,0.00836374912966012,1.8381065906435504e-05,0.14285714285714285,0.3333333333333333
0.1,0.25,0.75,8,18,0.04,0.010890685170484957,0.008825521043074748,1.8381065906435504e-05,0.14285714285714285,0.6
0.1,0.25,1.0,8,18,0.04,0.010890685170484957,0.009476010666208316,1.8381065906435504e-05,0.14285714285714285,1.0
0.1,0.5,0.25,8,18,0.04,0.0065935796952930874,0.0041636083188295835,4.332270530755629e-05,0.3333333333333333,0.14285714285714285
0.1,0.5,0.5,8,18,0.04,0.0065935796952930874,0.004809029835824946,4.332270530755629e-05,0.3333333333333333,0.3333333333333333
0.1,0.5,0.75,8,18,0.04,0.0065935796952930874,0.005573465975193792,4.332270530755629e-05,0.3333333333333333,0.6
0.1,0.5,1.0,8,18,0.04,0.0065935796952930874,0.006555034663375546,4.332270530755629e-05,0.3333333333333333,1.0
0.1,0.75,0.25,8,18,0.04,0.00883074525595361,0.005259169361025075,7.798205944724075e-05,0.6,0.14285714285714285
0.1,0.75,0.5,8,18,0.04,0.00883074525595361,0.00579160457559094,7.798205944724075e-05,0.6,0.3333333333333333
0.1,0.75,0.75,8,18,0.04,0.00883074525595361,0.006440458171866279,7.798205944724075e-05,0.6,0.6
0.1,0.75,1.0,8,18,0.04,0.00883074525595361,0.007306466856505344,7.798205944724075e-05,0.6,1.0
0.1,1.0,0.25,8,18,0.04,0.011400442934772123,0.0065749475329835655,0.00012997009910899562,1.0,0.14285714285714285
0.1,1.0,0.5,8,18,0.04,0.011400442934772123,0.007020726877813483,0.00012997009910899562,1.0,0.3333333333333333
0.1,1.0,0.75,8,18,0.04,0.011400442934772123,0.007564888887401703,0.00012997009910899562,1.0,0.6
0.1,1.0,1.0,8,18,0.04,0.011400442934772123,0.008314595621005498,0.00012997009910899562,1.0,1.0
