sigma_theta_deg,sigma_azimuth_deg,eta_c,eta_r,n_bootstrap,n_main,trials,theory_reference_rms_d,theory_receiver_rms_d,mc_reference_rms_d,mc_receiver_rms_d,mc_team_max_error_p99_d,mc_team_max_error_sample_d,white_noise_steady_multiplier_eta_r,white_noise_steady_multiplier_eta_c,shared_reference_covariance_trace_d2
0.01,0.0070710678118654745,0.25,0.25,8,18,8000,0.010020467465904462,0.007345042332325654,0.010025284878852044,0.00734672950546438,0.011134497416030514,0.011630032386791098,0.14285714285714285,0.14285714285714285,1.8381065906435509e-07
0.01,0.0070710678118654745,0.5,0.5,8,18,8000,0.0007653854869936867,0.0005597828457497421,0.0007697676155627306,0.0005603117992196235,0.0018920349861446825,0.0024923712093333546,0.3333333333333333,0.3333333333333333,4.3322705307556304e-07
0.01,0.0070710678118654745,0.75,0.75,8,18,8000,0.0008830758307069922,0.0006440467896230142,0.0008871577409676597,0.0006431891931090969,0.002285844414056074,0.0031297007769654126,0.6,0.6,7.798205944724077e-07
0.01,0.0070710678118654745,1.0,1.0,8,18,8000,0.0011400442934772124,0.0008314595621005499,0.0011449761741744607,0.0008300893618369494,0.0029331845926021663,0.0040946028639668435,1.0,1.0,1.2997009910899565e-06
0.05,0.035355339059327376,0.25,0.25,8,18,8000,0.01023822367663426,0.007502754017756702,0.010234369322311003,0.007504611985611312,0.014693847044872617,0.017213239767246424,0.14285714285714285,0.14285714285714285,4.595266476608876e-06
0.05,0.035355339059327376,0.5,0.5,8,18,8000,0.0033141008158343757,0.0024174128263947914,0.0033300850212820694,0.002415687542491584,0.008511884156544637,0.012502177251232226,0.3333333333333333,0.3333333333333333,1.0830676326889073e-05
0.05,0.035355339059327376,0.75,0.75,8,18,8000,0.004415372825721133,0.003220229233272103,0.004431861417813294,0.0032169652009385974,0.011323979974285804,0.017165332517705655,0.6,0.6,1.9495514861810187e-05
0.05,0.035355339059327376,1.0,1.0,8,18,8000,0.005700221467386061,0.004157297810502749,0.005707007008405037,0.004149876930942875,0.014505503865052926,0.0222129182696984,1.0,1.0,3.2492524777248905e-05
0.1,0.07071067811865475,0.25,0.25,8,18,8000,0.010890685170484957,0.007975527549090604,0.01091807012013958,0.007991190201432867,0.019357666188230097,0.024315785653688807,0.14285714285714285,0.14285714285714285,1.8381065906435504e-05
0.1,0.07071067811865475,0.5,0.5,8,18,8000,0.0065935796952930874,0.0048090315638429715,0.006573709956122662,0.0048082309181634985,0.017165637151538144,0.025879403287261068,0.3333333333333333,0.3333333333333333,4.332270530755629e-05
0.1,0.07071067811865475,0.75,0.75,8,18,8000,0.00883074525595361,0.006440458171866298,0.008776999404801672,0.006427173729706909,0.022607094340440496,0.03516556733635049,0.6,0.6,7.798205944724075e-05
0.1,0.07071067811865475,1.0,1.0,8,18,8000,0.011400442934772123,0.008314595621005498,0.011319711373670258,0.008291650253376696,0.029276937804035078,0.043218275985279754,1.0,1.0,0.00012997009910899562
