sigma_theta_deg,sigma_azimuth_deg,receiver_id,selected_indices,selected_pairs,D_selected,D_full,Sigma_theta_selected,Sigma_receiver_measurement,sigma_receiver_x,sigma_receiver_y,g_spectral_norm,selected_rows_are_smooth
0.01,0.0070710678118654745,2,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[8.059669231856667e-08, 1.3629998571812173e-07], [1.3629998571812173e-07, 2.9890584316570773e-07]]",0.0002838955658663352,0.0005467228211495362,1.0408329997330665,True
0.01,0.0070710678118654745,3,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[8.059669231856667e-08, -1.3629998571812173e-07], [-1.3629998571812173e-07, 2.9890584316570773e-07]]",0.0002838955658663352,0.0005467228211495362,1.0408329997330665,True
0.01,0.0070710678118654745,4,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[9.138522593601257e-08, 1.055225695882233e-07], [1.0552256958822331e-07, 2.132321938506961e-07]]",0.0003022998940390363,0.00046177071567033795,1.0000000000000004,True
0.01,0.0070710678118654745,5,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[3.35840705314846e-08, 7.937478730735934e-25], [-3.343273947943428e-26, 9.328908480967948e-08]]",0.00018325957145940455,0.00030543261909900764,0.7,True
0.01,0.0070710678118654745,6,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[9.138522593601257e-08, -1.055225695882233e-07], [-1.0552256958822331e-07, 2.132321938506961e-07]]",0.0003022998940390363,0.00046177071567033795,1.0000000000000004,True
0.01,0.0070710678118654745,7,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[1.2628930528657295e-07, 1.626806281151775e-07], [1.6268062811517753e-07, 2.5321323019770145e-07]]",0.00035537206599080485,0.0005032029711733641,1.0408329997330665,True
0.01,0.0070710678118654745,8,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[7.836283124013076e-08, 2.585302954911468e-08], [2.585302954911468e-08, 4.8510324101033315e-08]]",0.00027993361934596346,0.00022025059387214673,0.7000000000000002,True
0.01,0.0070710678118654745,9,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[7.836283124013075e-08, -2.5853029549114677e-08], [-2.5853029549114677e-08, 4.851032410103331e-08]]",0.0002799336193459634,0.0002202505938721467,0.7000000000000002,True
0.01,0.0070710678118654745,10,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[1.2628930528657295e-07, -1.626806281151775e-07], [-1.6268062811517753e-07, 2.5321323019770145e-07]]",0.00035537206599080485,0.0005032029711733641,1.0408329997330665,True
0.01,0.0070710678118654745,12,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[3.623678056212719e-07, 2.6380642397055814e-08], [2.6380642397055804e-08, 1.7134729863002354e-08]]",0.0006019699374730203,0.0001308996938995747,1.0408329997330663,True
0.01,0.0070710678118654745,13,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[2.7415567780803756e-07, 0.0], [6.165816125731601e-25, 3.046174197867085e-08]]",0.0005235987755982987,0.00017453292519943294,1.0,True
0.01,0.0070710678118654745,14,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867085e-08, -1.5230870989335426e-08], [-1.5230870989335426e-08, 3.046174197867085e-08]]","[[3.6236780562127184e-07, -2.63806423970558e-08], [-2.6380642397055804e-08, 1.7134729863002354e-08]]",0.0006019699374730202,0.0001308996938995747,1.0408329997330663,True
0.05,0.035355339059327376,2,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[2.014917307964167e-06, 3.4074996429530444e-06], [3.4074996429530444e-06, 7.472646079142696e-06]]",0.0014194778293316762,0.0027336141057476815,1.0408329997330665,True
0.05,0.035355339059327376,3,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[2.014917307964167e-06, -3.4074996429530444e-06], [-3.4074996429530444e-06, 7.472646079142696e-06]]",0.0014194778293316762,0.0027336141057476815,1.0408329997330665,True
0.05,0.035355339059327376,4,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[2.284630648400315e-06, 2.6380642397055833e-06], [2.638064239705583e-06, 5.330804846267403e-06]]",0.0015114994701951818,0.00230885357835169,1.0000000000000004,True
0.05,0.035355339059327376,5,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[8.396017632871155e-07, -2.76484093401888e-23], [3.571447836755061e-23, 2.3322271202419876e-06]]",0.000916297857297023,0.0015271630954950383,0.7,True
0.05,0.035355339059327376,6,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[2.284630648400315e-06, -2.6380642397055833e-06], [-2.638064239705583e-06, 5.330804846267403e-06]]",0.0015114994701951818,0.00230885357835169,1.0000000000000004,True
0.05,0.035355339059327376,7,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[3.157232632164324e-06, 4.0670157028794385e-06], [4.0670157028794385e-06, 6.330330754942537e-06]]",0.0017768603299540243,0.0025160148558668206,1.0408329997330665,True
