receiver_id,pair_indices,pair_labels,production_selected,sigma_min_J,trace_position_cov_d2,lambda_max_position_cov_d2,position_covariance,covariance_best_trace,covariance_best_lambda_max,geometric_selector_matches_trace,geometric_selector_matches_lambda_max
2,1;2,1-3;2-3,True,0.3155238492815843,9.487563387106863e-06,9.109300523161498e-06,"[[2.014917307964167e-06, 3.4074996429530444e-06], [3.4074996429530444e-06, 7.472646079142696e-06]]",True,True,True,True
3,0;2,1-2;2-3,True,0.3155238492815843,9.487563387106863e-06,9.109300523161498e-06,"[[2.014917307964167e-06, -3.4074996429530444e-06], [-3.4074996429530444e-06, 7.472646079142696e-06]]",True,True,True,True
4,1;2,1-3;2-3,True,0.40824829046386296,7.615435494667718e-06,6.853891945200946e-06,"[[2.284630648400315e-06, 2.6380642397055833e-06], [2.638064239705583e-06, 5.330804846267403e-06]]",True,True,True,True
5,0;1,1-2;1-3,False,0.40406101782088427,3.171828883529103e-06,2.3322271202419876e-06,"[[8.396017632871155e-07, 5.293955920339377e-23], [1.3498260277657407e-22, 2.3322271202419876e-06]]",True,True,False,False
5,0;2,1-2;2-3,True,0.521640530957301,3.171828883529103e-06,2.3322271202419876e-06,"[[8.396017632871155e-07, -2.76484093401888e-23], [3.571447836755061e-23, 2.3322271202419876e-06]]",True,True,True,True
5,1;2,1-3;2-3,False,0.521640530957301,3.171828883529103e-06,2.3322271202419876e-06,"[[8.396017632871155e-07, 2.76484093401888e-23], [-3.571447836755061e-23, 2.3322271202419876e-06]]",True,True,False,False
6,0;2,1-2;2-3,True,0.40824829046386296,7.615435494667718e-06,6.853891945200946e-06,"[[2.284630648400315e-06, -2.6380642397055833e-06], [-2.638064239705583e-06, 5.330804846267403e-06]]",True,True,True,True
7,1;2,1-3;2-3,True,0.3155238492815846,9.487563387106862e-06,9.109300523161498e-06,"[[3.157232632164324e-06, 4.0670157028794385e-06], [4.0670157028794385e-06, 6.330330754942537e-06]]",True,True,True,True
8,0;1,1-2;1-3,True,0.5216405309573011,3.1718288835291026e-06,2.332227120241987e-06,"[[1.9590707810032693e-06, 6.463257387278672e-07], [6.463257387278673e-07, 1.2127581025258333e-06]]",True,True,True,True
8,0;2,1-2;2-3,False,0.40406101782088444,3.1718288835291022e-06,2.3322271202419867e-06,"[[1.9590707810032693e-06, 6.463257387278669e-07], [6.463257387278669e-07, 1.2127581025258329e-06]]",True,True,False,False
8,1;2,1-3;2-3,False,0.521640530957301,3.1718288835291022e-06,2.332227120241987e-06,"[[1.9590707810032693e-06, 6.463257387278671e-07], [6.463257387278674e-07, 1.212758102525833e-06]]",True,True,False,False
9,0;1,1-2;1-3,True,0.5216405309573011,3.1718288835291022e-06,2.332227120241987e-06,"[[1.9590707810032693e-06, -6.463257387278671e-07], [-6.463257387278673e-07, 1.212758102525833e-06]]",True,True,True,True
9,0;2,1-2;2-3,False,0.521640530957301,3.1718288835291022e-06,2.332227120241987e-06,"[[1.9590707810032693e-06, -6.463257387278671e-07], [-6.463257387278674e-07, 1.212758102525833e-06]]",True,True,False,False
9,1;2,1-3;2-3,False,0.40406101782088444,3.1718288835291022e-06,2.3322271202419867e-06,"[[1.9590707810032693e-06, -6.463257387278669e-07], [-6.463257387278669e-07, 1.2127581025258329e-06]]",True,True,False,False
10,0;2,1-2;2-3,True,0.3155238492815846,9.487563387106862e-06,9.109300523161498e-06,"[[3.157232632164324e-06, -4.0670157028794385e-06], [-4.0670157028794385e-06, 6.330330754942537e-06]]",True,True,True,True
12,0;1,1-2;1-3,True,0.3155238492815844,9.487563387106858e-06,9.109300523161495e-06,"[[9.0591951405318e-06, 6.595160599263952e-07], [6.595160599263955e-07, 4.28368246575059e-07]]",True,True,True,True
13,0;1,1-2;1-3,True,0.4082482904638632,7.615435494667712e-06,6.85389194520094e-06,"[[6.85389194520094e-06, 0.0], [1.6822818093820024e-23, 7.615435494667715e-07]]",True,True,True,True
14,0;1,1-2;1-3,True,0.31552384928158445,9.487563387106858e-06,9.109300523161495e-06,"[[9.0591951405318e-06, -6.595160599263955e-07], [-6.595160599263953e-07, 4.28368246575059e-07]]",True,True,True,True
