stage,rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,measurement_slot,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y
bootstrap,0.1,11,1.0,1,1.0360379629237373,1.0895891597267546,1.0471975511965976,1.0471975511965976,0.042391608530157,2,2,4,2.125944143531268,3.589140344413903,-0.12594414353126782,-0.12503872927614879,True,observe_and_move,,,,,,,,,,,,,,,,
bootstrap,0.1,11,1.0,2,1.0471975511965976,1.0471975511965974,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999993,3.464101615137752,0.0,0.0,False,stop_angle_threshold,,,,,,,,,,,,,,,,
main,0.1,11,1.0,1,,,,,0.17670095581960843,,,3,,,,,True,observe_and_move,,2,2.9661898996882234,2.0285321841173185,1.2884632233740443,3.141592653589793,1.85183122829771,1.289761425292083,1,1.6618235783039603,2.6349699473193566,1.3322676295501878e-15,True,5,-0.16182357830396032,-0.03689373596604062
main,0.1,11,1.0,1,,,,,0.11985639937846004,,,3,,,,,True,observe_and_move,,3,1.7477751101788284,3.021736254211333,1.2739611440325047,1.85183122829771,3.141592653589793,1.289761425292083,1,2.5954408020991115,2.6166581389467884,4.440892098500626e-16,True,5,-0.09544080209911154,-0.018581927593472436
main,0.1,11,1.0,1,,,,,0.0663536935361062,,,3,,,,,True,observe_and_move,,4,3.0768871369971946,1.6371500203310028,1.5691481498513893,3.141592653589793,1.5707963267948966,1.5707963267948968,1,1.1106896308805503,1.7947030480911452,4.440892098500626e-16,True,5,-0.11068963088055028,-0.06265224052226803
main,0.1,11,1.0,1,,,,,0.11223375154892556,,,3,,,,,True,observe_and_move,,5,2.172286954190737,2.374238111392274,1.7366602415965755,2.2845207057396624,2.2845207057396624,1.7141438957002622,1,2.1247835967584465,1.6891830853233643,0.0,True,5,-0.12478359675844652,0.04286772224551294
main,0.1,11,1.0,1,,,,,0.16078533570299314,,,3,,,,,True,observe_and_move,,6,1.4745017026487957,2.9808073178868,1.506305615238004,1.5707963267948966,3.141592653589793,1.5707963267948968,1,3.1731060780116516,1.7541234798158414,0.0,True,5,-0.17310607801165157,-0.022072672246964187
main,0.1,11,1.0,1,,,,,0.06539151211538918,,,3,,,,,True,observe_and_move,,7,3.076201141474404,1.3313497187832606,1.875634446921922,3.141592653589793,1.289761425292083,1.8518312282977105,1,0.5960431570794088,0.9279222309550784,2.220446049250313e-16,True,5,-0.0960431570794088,-0.061896827170640045
main,0.1,11,1.0,1,,,,,0.05319550069472001,,,3,,,,,True,observe_and_move,,8,2.2900879728045593,1.7617721293300845,2.2313252050449424,2.2845207057396624,1.714143895700262,2.2845207057396624,1,1.5525855879546258,0.9389729212405274,7.149836278586008e-14,True,4,-0.052585587954625757,-0.07294751745608907
main,0.1,11,1.0,1,,,,,0.09165475022564928,,,3,,,,,True,observe_and_move,,9,1.662431489601335,2.3761754559653117,2.2445783616129398,1.714143895700262,2.2845207057396624,2.2845207057396624,1,2.617262374865275,0.886877908457979,4.440892098500626e-16,True,5,-0.11726237486527502,-0.020852504673540606
main,0.1,11,1.0,1,,,,,0.12031040684447714,,,3,,,,,True,observe_and_move,,10,1.2665656650821562,3.021282246745316,1.7547165816631598,1.289761425292083,3.141592653589793,1.8518312282977105,1,3.5780339140392785,0.9117877082309619,1.4432899320127035e-14,True,4,-0.0780339140392785,-0.045762304446523516
main,0.1,11,1.0,1,,,,,0.026470676625482525,,,3,,,,,True,observe_and_move,,12,1.8542474992413713,1.3138158309739043,3.1151219769643106,1.8518312282977103,1.289761425292083,3.141592653589793,1,1.069021833227442,0.02073700604215401,0.0,True,5,-0.06902183322744193,-0.02073700604215401
main,0.1,11,1.0,1,,,,,0.011765763662727968,,,3,,,,,True,observe_and_move,,13,1.5795991802822094,1.5590305631321686,3.138629743414378,1.5707963267948966,1.5707963267948966,3.141592653589793,1,1.964250571665968,-0.0029619656785569697,0.0,True,4,0.03574942833403205,0.0029619656785569697
main,0.1,11,1.0,1,,,,,0.05683130548017745,,,3,,,,,True,observe_and_move,,14,1.268448225931079,1.8163131221785367,3.0847613481096157,1.289761425292083,1.8518312282977103,3.141592653589793,1,3.041216364225769,-0.0414483774283776,2.220446049250313e-16,True,5,-0.04121636422576902,0.0414483774283776
main,0.1,11,1.0,2,,,,,1.1102230246251565e-15,,,3,,,,,False,stop_angle_threshold,,2,3.1415926535897922,1.851831228297709,1.2897614252920833,3.141592653589793,1.85183122829771,1.289761425292083,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,3,1.8518312282977103,3.141592653589793,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,2,,,,,,0.0,0.0
