stage,rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
bootstrap,0.1,47,0.5,1,1,-0.008709849929208868,-0.03866927063635828,2.0087098499292084,3.502770885774112,1
bootstrap,0.1,47,0.5,2,1,-0.00435492496460399,-0.019334635318178917,2.0043549249646047,3.4834362504559335,2
bootstrap,0.1,47,0.5,3,1,-0.00217746248230255,-0.009667317659089791,2.002177462482302,3.473768932796844,3
bootstrap,0.1,47,0.5,4,1,-0.00108873124115072,-0.004833658829544785,2.0010887312411514,3.468935273967299,4
main_budget,,,,1,2,0.026089344969174366,0.012092756645572633,1.4722328844423003,2.5855205820333227,
main_budget,,,,1,3,0.002475146303493103,-0.005630627317036119,2.5009308234219985,2.6028708116196566,
main_budget,,,,1,4,0.015712799032181646,-0.0037281866583150913,0.9829272199605683,1.7349597343995744,
main_budget,,,,1,5,-0.010160223825186332,0.008788530298419084,2.010958916694772,1.7232540995999166,
main_budget,,,,1,6,-0.029609061072481513,-0.01601709813767016,3.0327432631115734,1.7461085017534084,
main_budget,,,,1,7,0.008356540499737442,-0.0168225469447284,0.4905375232240453,0.88164404028163,
main_budget,,,,1,8,-0.03708950686425705,0.016848682252964098,1.5372975787087255,0.8492094059192081,
main_budget,,,,1,9,-0.0487308786758025,0.0288925114547956,2.550205902623466,0.836800884114882,
main_budget,,,,1,10,-0.033540084729402286,-0.007964391740566179,3.5360184872748093,0.8710339022246435,
main_budget,,,,1,12,-0.004457812825168772,-0.008149916575757447,1.0041621484303977,0.008146750904243482,
main_budget,,,,1,13,-0.008642095131372596,0.00784812879095695,2.0097702614551496,-0.007847970760371087,
main_budget,,,,1,14,-0.009160224616426627,0.05464263858771085,3.011965165571863,-0.05443249371558936,
main_budget,,,,2,2,0.013091690979434745,0.006070478054038597,1.485324575421735,2.591591060087361,
main_budget,,,,2,3,0.0012337728789744151,-0.002816821533649261,2.5021645963009727,2.6000539900860073,
main_budget,,,,2,4,0.007877858581191555,-0.0018430462796708014,0.9908050785417599,1.7331166881199036,
main_budget,,,,2,5,-0.005089341804478176,0.004396315073482371,2.005869574890294,1.7276504146733989,
main_budget,,,,2,6,-0.01486311885266045,-0.007936472974617859,3.017880144258913,1.7381720287787905,
main_budget,,,,2,7,0.004189426703670507,-0.00838598712554145,0.4947269499277158,0.8732580531560885,
main_budget,,,,2,8,-0.018569930862926243,0.008421751305925096,1.5187276478457994,0.8576311572251332,
main_budget,,,,2,9,-0.024393513096143904,0.014463905468577454,2.5258123895273217,0.8512647895834594,
main_budget,,,,2,10,-0.016784437105834993,-0.0038677635478228667,3.5192340501689743,0.8671661386768206,
main_budget,,,,2,12,-0.0022316167926291763,-0.004074187281976616,1.0019305316377687,0.004072563622266866,
main_budget,,,,2,13,-0.004330955266940606,0.00392400542143842,2.005439306188209,-0.003923965338932666,
main_budget,,,,2,14,-0.004667220805739447,0.027264829268061237,3.0072979447661234,-0.02716766444752812,
main_budget,,,,3,2,0.006569746242863106,0.003046869439450095,1.4918943216645981,2.594637929526811,
main_budget,,,,3,4,0.00394954796600816,-0.0009112916182857367,0.994754626507768,1.7322053965016178,
main_budget,,,,3,5,-0.0025493371724696345,0.0021991507384310216,2.0033202377178245,1.72984956541183,
main_budget,,,,3,6,-0.007459770143880107,-0.003934067502305405,3.010420374115033,1.734237961276485,
main_budget,,,,3,7,0.002100148933162266,-0.004180688368019658,0.49682709886087806,0.8690773647880689,
main_budget,,,,3,8,-0.009297629568723709,0.004209257576684222,1.5094300182770757,0.8618404148018174,
main_budget,,,,3,9,-0.01221093561443598,0.007240576134421195,2.5136014539128855,0.8585053657178806,
main_budget,,,,3,10,-0.008399529236308823,-0.001880720479178477,3.5108345209326655,0.8652854181976422,
main_budget,,,,3,12,-0.0011171849517040977,-0.002036692888253308,1.0008133466860647,0.0020358707340135582,
main_budget,,,,3,13,-0.0021703911762986916,0.0019619879392039734,2.00326891501191,-0.001961977399728693,
main_budget,,,,3,14,-0.002371822912691224,0.013607211338551263,3.0049261218534324,-0.013560453108976857,
main_budget,,,,4,2,0.0032969481918226906,0.0015291551719507357,1.495191269856421,2.596167084698762,
main_budget,,,,4,6,-0.0037437353128702,-0.0019503773326144946,3.006676638802163,1.7322875839438705,
main_budget,,,,4,7,0.0010527565795153682,-0.002084274101498418,0.4978798554403934,0.8669930906865704,
main_budget,,,,4,8,-0.004655170433691791,0.0021037348131224265,1.5047748478433838,0.8639441496149398,
main_budget,,,,4,9,-0.006112598438300143,0.0036245496105569708,2.5074888554745853,0.8621299153284376,
main_budget,,,,4,10,-0.004203437061307769,-0.0009147348035650205,3.5066310838713575,0.8643706833940772,
main_budget,,,,4,14,-0.0012038340259958868,0.006791689122150239,3.0037222878274363,-0.006768763986826618,
main_budget,,,,5,8,-0.0023307709876105864,0.00105139839674534,1.5024440768557732,0.8649955480116851,
main_budget,,,,5,9,-0.003059877097476349,0.0018143939672745635,2.504428978377109,0.8639443092957122,
main_budget,,,,5,14,-0.0006105989160287706,0.003390053049965759,3.0031116889114076,-0.0033787109368608593,
