rho,seed,initial_max_error_d,initial_rms_error_d,actual_spacing_d,protocol,eta_c,eta_r,tau_c_d,final_position_budget_d,receiver_estimate_budget_d,budget_group,stop_rule,status,online_status,measurement_slots,tx_uses,relay_scalar_count,public_reference_scalars,final_max_position_error_d,final_position_budget_pass,final_position_budget_excess_d,first_order_reference_propagation_bound_d,online_budget_plus_reference_bound_d,final_rms_position_error_d,cumulative_displacement_d,action_count,record_kind,failures_json,bootstrap_summary_json,main_summary_json,case_dir
0.1,11,0.1774728461168589,0.11133921628245336,0.992717292188455,staged_fixed_reference,1.0,1.0,0.0,0.01,,strict_angle,strict_main_angle_after_finite_calibration,success,success,6,14,4,4,1.23106663444592e-13,True,0.0,0.0,,3.240084451535201e-14,1.454467092176299,13,strict_angle,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377535,""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":1.1102230246251565e-15,""3"":2.220446049250313e-16,""4"":2.220446049250313e-16,""5"":4.440892098500626e-16,""6"":2.220446049250313e-16,""7"":2.220446049250313e-16,""8"":6.88338275267597e-14,""9"":0.0,""10"":1.687538997430238e-14,""12"":2.220446049250313e-16,""13"":2.220446049250313e-16,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":6.88338275267597e-14,""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_001_strict_angle
0.1,23,0.16697437016671612,0.09172163218971498,1.002599688341454,staged_fixed_reference,1.0,1.0,0.0,0.01,,strict_angle,strict_main_angle_after_finite_calibration,success,success,6,14,4,4,1.408855083090244e-13,True,0.0,0.0,,4.5094610962211376e-14,1.1687768862008874,13,strict_angle,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377544,""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":9.658940314238862e-14,""4"":5.329070518200751e-15,""5"":8.215650382226158e-14,""6"":2.220446049250313e-16,""7"":2.220446049250313e-16,""8"":8.881784197001252e-16,""9"":2.531308496145357e-14,""10"":2.220446049250313e-16,""12"":4.440892098500626e-16,""13"":2.220446049250313e-16,""14"":0.0},""final_max_angle_error_rad"":9.658940314238862e-14,""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_002_strict_angle
0.1,47,0.1147435226954799,0.061127590608246296,0.9676913254328862,staged_fixed_reference,1.0,1.0,0.0,0.01,,strict_angle,strict_main_angle_after_finite_calibration,success,success,6,14,4,4,1.1889887337306656e-13,True,0.0,0.0,,3.3801885177673015e-14,0.7371002151671395,13,strict_angle,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.464101615137754,""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":2.220446049250313e-16,""4"":0.0,""5"":8.881784197001252e-16,""6"":0.0,""7"":8.748557434046234e-14,""8"":4.707345624410664e-14,""9"":2.220446049250313e-16,""10"":4.440892098500626e-16,""12"":2.220446049250313e-16,""13"":0.0,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":8.748557434046234e-14,""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_003_strict_angle
0.1,11,0.1774728461168589,0.11133921628245336,0.992717292188455,staged_fixed_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,estimated_position_budget_after_finite_calibration,success,success,6,14,4,4,1.23106663444592e-13,True,0.0,0.004995998399999999,0.014995998399999998,3.240084451535201e-14,1.454467092176299,13,unallocated_reference_budget,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377535,""position_tolerance_d"":0.0048,""stop_rule"":""estimated_apex_position"",""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""tx_uses"":6,""stop_rule"":""estimated_receiver_position"",""position_budget_d"":0.01,""final_max_angle_error_rad"":6.88338275267597e-14,""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_004_unallocated_reference_budget
0.1,11,0.1774728461168589,0.11133921628245336,0.992717292188455,dynamic_current_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,c_hat_position_and_receiver_estimated_position_budget,success,success,6,14,4,4,1.0342709227264813e-13,True,0.0,0.004995998399999999,0.014995998399999998,2.700353849568194e-14,1.454467092176321,13,unallocated_reference_budget,[],{},"{""status"":""success"",""rounds"":2,""stop_rule"":""c_hat_position_and_receiver_estimated_position_budget"",""position_budget_d"":0.01,""tau_c_d"":0.0048,""broadcast_slots"":2,""measurement_slots"":6,""tx_uses"":14,""relay_scalar_count"":4,""public_reference_scalars"":4,""failures"":[],""rounds_detail"":[{""round"":1,""c_hat_error_to_target_d"":0.17747284611685984,""receiver_budget_met_count"":0,""calibration_action"":true,""receiver_action_count"":12,""event"":""observe_and_synchronize_move""},{""round"":2,""c_hat_error_to_target_d"":2.318213734067276e-15,""receiver_budget_met_count"":12,""calibration_action"":false,""receiver_action_count"":0,""event"":""stop_after_observable_verification""}],""final_c_hat_error_d"":2.318213734067276e-15}",outputs/q2/protocol_comparison/cases/case_005_unallocated_reference_budget
0.1,23,0.16697437016671612,0.09172163218971498,1.002599688341454,staged_fixed_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,estimated_position_budget_after_finite_calibration,success,success,6,14,4,4,1.408855083090244e-13,True,0.0,0.004995998399999999,0.014995998399999998,4.5094610962211376e-14,1.1687768862008874,13,unallocated_reference_budget,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377544,""position_tolerance_d"":0.0048,""stop_rule"":""estimated_apex_position"",""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""tx_uses"":6,""stop_rule"":""estimated_receiver_position"",""position_budget_d"":0.01,""final_max_angle_error_rad"":9.658940314238862e-14,""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_006_unallocated_reference_budget
0.1,23,0.16697437016671612,0.09172163218971498,1.002599688341454,dynamic_current_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,c_hat_position_and_receiver_estimated_position_budget,success,success,6,14,4,4,1.086422297228066e-13,True,0.0,0.004995998399999999,0.014995998399999998,2.941809300473893e-14,1.1687768862010466,13,unallocated_reference_budget,[],{},"{""status"":""success"",""rounds"":2,""stop_rule"":""c_hat_position_and_receiver_estimated_position_budget"",""position_budget_d"":0.01,""tau_c_d"":0.0048,""broadcast_slots"":2,""measurement_slots"":6,""tx_uses"":14,""relay_scalar_count"":4,""public_reference_scalars"":4,""failures"":[],""rounds_detail"":[{""round"":1,""c_hat_error_to_target_d"":0.13030591064723307,""receiver_budget_met_count"":0,""calibration_action"":true,""receiver_action_count"":12,""event"":""observe_and_synchronize_move""},{""round"":2,""c_hat_error_to_target_d"":6.280369834735101e-16,""receiver_budget_met_count"":12,""calibration_action"":false,""receiver_action_count"":0,""event"":""stop_after_observable_verification""}],""final_c_hat_error_d"":6.280369834735101e-16}",outputs/q2/protocol_comparison/cases/case_007_unallocated_reference_budget
0.1,47,0.1147435226954799,0.061127590608246296,0.9676913254328862,staged_fixed_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,estimated_position_budget_after_finite_calibration,success,success,6,14,4,4,1.1889887337306656e-13,True,0.0,0.004995998399999999,0.014995998399999998,3.3801885177673015e-14,0.7371002151671395,13,unallocated_reference_budget,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.464101615137754,""position_tolerance_d"":0.0048,""stop_rule"":""estimated_apex_position"",""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""tx_uses"":6,""stop_rule"":""estimated_receiver_position"",""position_budget_d"":0.01,""final_max_angle_error_rad"":8.748557434046234e-14,""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""gain"":1.0}",outputs/q2/protocol_comparison/cases/case_008_unallocated_reference_budget
0.1,47,0.1147435226954799,0.061127590608246296,0.9676913254328862,dynamic_current_reference,1.0,1.0,0.0048,0.01,0.01,unallocated_reference_budget,c_hat_position_and_receiver_estimated_position_budget,success,success,6,14,4,4,1.1159530867219677e-13,True,0.0,0.004995998399999999,0.014995998399999998,3.200388824951458e-14,0.737100215167144,13,unallocated_reference_budget,[],{},"{""status"":""success"",""rounds"":2,""stop_rule"":""c_hat_position_and_receiver_estimated_position_budget"",""position_budget_d"":0.01,""tau_c_d"":0.0048,""broadcast_slots"":2,""measurement_slots"":6,""tx_uses"":14,""relay_scalar_count"":4,""public_reference_scalars"":4,""failures"":[],""rounds_detail"":[{""round"":1,""c_hat_error_to_target_d"":0.07927607400312557,""receiver_budget_met_count"":0,""calibration_action"":true,""receiver_action_count"":12,""event"":""observe_and_synchronize_move""},{""round"":2,""c_hat_error_to_target_d"":6.280369834735101e-16,""receiver_budget_met_count"":12,""calibration_action"":false,""receiver_action_count"":0,""event"":""stop_after_observable_verification""}],""final_c_hat_error_d"":6.280369834735101e-16}",outputs/q2/protocol_comparison/cases/case_009_unallocated_reference_budget
0.1,11,0.1774728461168589,0.11133921628245336,0.992717292188455,staged_fixed_reference,1.0,0.75,0.0048,0.01,0.01,unallocated_reference_budget,estimated_position_budget_after_finite_calibration,success,success,8,20,4,4,0.00896798077499584,True,0.0,0.004995998399999999,0.014995998399999998,0.005575610748420655,1.3838891349104365,26,unallocated_reference_budget,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377535,""position_tolerance_d"":0.0048,""stop_rule"":""estimated_apex_position"",""gain"":1.0}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":4,""tx_uses"":12,""stop_rule"":""estimated_receiver_position"",""position_budget_d"":0.01,""final_max_angle_error_rad"":0.007651954238970582,""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""gain"":0.75}",outputs/q2/protocol_comparison/cases/case_010_unallocated_reference_budget
