epsilon_deg,alpha_sign,beta_sign,apex_error_d,linear_box_bound_d
0.01,-1,-1,0.0013958414530454988,0.0013962634015954635
0.01,-1,1,0.0008061330466779114,0.0013962634015954635
0.01,1,-1,0.0008061330466776895,0.0013962634015954635
0.01,1,1,0.001396685633694883,0.0013962634015954635
0.05,-1,-1,0.006970782443525003,0.006981317007977317
0.05,-1,1,0.004030664742265719,0.006981317007977317
0.05,1,-1,0.004030664742265497,0.006981317007977317
0.05,1,1,0.0069918870163729885,0.006981317007977317
0.1,-1,-1,0.013920566293625036,0.013962634015954633
0.1,-1,1,0.008061326415005064,0.013962634015954633
0.1,1,-1,0.00806132641500462,0.013962634015954633
0.1,1,1,0.014004985292195293,0.013962634015954633
