amplitude_d,direction_deg,gain,rho,seed,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.005,0,1.0,0.0,ideal,1,2,3.137273351753643,1.84751192646156,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,0.004319301836150036,1,3,1.4956234423913604,2.596988261867569,2.220446049250313e-16,True,4,0.004376557608639642,0.0010879494857469751,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,3,1.8561721804983218,3.137251701389182,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,0.004340952200611703,1,3,2.495626567374271,2.599153335525744,4.440892098500626e-16,True,4,0.004373432625729201,-0.0010771241724278902,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,4,3.1394302964012786,1.568633969606382,1.5707963267948968,3.141592653589793,1.5707963267948966,1.5707963267948968,0.002162357188514541,1,3,0.9962500058666354,1.7298803280219541,4.75175454539567e-14,True,3,0.0037499941333646314,0.0021704795469230653,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,5,2.2874074490668965,2.2816339624124278,1.7141438957002622,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0028867433272345977,1,3,1.9965000026249982,1.732047776482237,0.0,True,4,0.00349999737500184,3.0310866401261904e-06,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,6,1.5729640966252703,3.1394248837594194,1.5707963267948968,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0021677698303737003,1,3,2.9962500058519868,1.73421046180671,4.75175454539567e-14,True,3,0.003749994148013247,-0.00215965423783282,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,7,3.1401504807282117,1.2883192524305014,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977105,0.0014421728615816587,1,3,0.4968765693420383,0.862772394176371,4.440892098500626e-16,True,4,0.0031234306579617233,0.003253009608067403,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,8,2.286375809796073,1.7122887916438512,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,0.0018551040564107613,1,3,1.4966250014769311,0.8653736111316744,0.0,True,4,0.003374998523068884,0.0006517926527639384,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,9,1.716000325301364,2.28266427613856,2.2845207057396624,1.714143895700262,2.2845207057396624,2.2845207057396624,0.0018564296011023274,1,3,2.496625001476193,0.8666726498056797,0.0,True,4,0.0033749985238071822,-0.0006472460212413322,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,10,1.291206003776445,3.140148075105431,1.8518312282977105,1.289761425292083,3.141592653589793,1.8518312282977105,0.0014445784843619691,1,3,3.496873444329831,0.8692675880876443,4.440892098500626e-16,True,4,0.003126555670168951,-0.003242184303205886,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,12,1.8531630620412518,1.2884295915485415,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,0.0013318337435415106,1,3,0.9950000000002864,-2.190485136886744e-20,7.638334409421077e-14,True,3,0.004999999999713567,2.190485136886744e-20,True,observe_and_move,
