amplitude_d,direction_deg,gain,status,failure_count,failures,main_slots,main_tx_uses,main_actions,main_displacement_d,receiver_max_error_d,full_team_max_error_d,final_max_angle_error_rad
0.005,0,1.0,converged,0,{},4,12,25,0.05214384123509634,0.005000000000282778,0.005000000000282778,6.791258666538624e-09
0.005,0,0.5,converged,0,{},20,60,219,0.0520618385302091,0.0049999809265171,0.005,8.616273028394517e-09
0.005,45,1.0,converged,0,{},4,12,28,0.03681861383683814,0.00502520798940781,0.00502520798940781,4.464916436575095e-09
0.005,45,0.5,converged,0,{},20,60,210,0.03679989765085849,0.0050251975330496,0.0050251975330496,9.710934945061922e-09
0.005,90,1.0,converged,0,{},4,12,22,0.01960568289524791,0.002599277490254313,0.005,3.8754239817251346e-09
0.005,90,0.5,converged,0,{},20,60,170,0.01960030061931678,0.002599262754649998,0.005,9.740933393231899e-09
0.005,135,1.0,converged,0,{},4,12,28,0.036818613836837044,0.005025207989407917,0.005025207989407917,4.464916880664305e-09
0.005,135,0.5,converged,0,{},20,60,210,0.03679989765085904,0.0050251975330491685,0.0050251975330491685,9.710935389151132e-09
0.005,180,1.0,converged,0,{},4,12,25,0.052143841235095384,0.005000000000282556,0.005000000000282556,6.791259110627834e-09
0.005,180,0.5,converged,0,{},20,60,219,0.052061838530210465,0.0049999809265171,0.005,8.616273472483726e-09
0.005,225,1.0,converged,0,{},4,12,28,0.03697820586232457,0.005028460609276625,0.005028460609276625,4.508036166583906e-09
0.005,225,0.5,converged,0,{},20,60,208,0.03682648537155996,0.0050284517463880084,0.0050284517463880084,9.733243100384925e-09
0.005,270,1.0,converged,0,{},4,12,22,0.019740067996819214,0.00260491126342127,0.005,3.937446368951214e-09
0.005,270,0.5,converged,0,{},19,57,168,0.01963537969933054,0.002604892822014178,0.005,9.553252411365065e-09
0.005,315,1.0,converged,0,{},4,12,28,0.03697820586232426,0.005028460609276388,0.005028460609276388,4.5080357224946965e-09
0.005,315,0.5,converged,0,{},20,60,208,0.03682648537155948,0.0050284517463875765,0.0050284517463875765,9.73324332242953e-09
0.02,0,1.0,converged,0,{},4,12,30,0.20956570904478466,0.020000000000000018,0.020000000000000018,9.175681103812394e-09
0.02,0,0.5,converged,0,{},22,66,243,0.20825624152515873,0.019999980926517225,0.02,9.78550396268929e-09
0.02,45,1.0,converged,0,{},5,15,38,0.1473428131193708,0.02008112930025434,0.02008112930025434,9.540609857694449e-09
0.02,45,0.5,converged,0,{},23,69,235,0.14704598116581705,0.020081121937648515,0.020081121937648515,9.964333802514602e-09
0.02,90,1.0,converged,0,{},5,15,32,0.07827768711568613,0.010363422449159028,0.02,1.847409336619421e-09
0.02,90,0.5,converged,0,{},22,66,192,0.07819350703750032,0.01036341549233188,0.02,6.573837474377342e-09
0.02,135,1.0,converged,0,{},5,15,38,0.1473428131193711,0.020081129300253908,0.020081129300253908,9.540609857694449e-09
0.02,135,0.5,converged,0,{},23,69,235,0.1470459811658214,0.020081121937648085,0.020081121937648085,9.964333802514602e-09
0.02,180,1.0,converged,0,{},4,12,30,0.20956570904478503,0.020000000000000018,0.020000000000000018,9.175681103812394e-09
0.02,180,0.5,converged,0,{},22,66,243,0.2082562415251576,0.019999980926517114,0.02,9.78550396268929e-09
0.02,225,1.0,converged,0,{},5,15,39,0.14992709998939768,0.020133186922897218,0.020133186922897218,5.856677365301266e-09
0.02,225,0.5,converged,0,{},22,66,233,0.14747210119724527,0.020133162391894582,0.020133162391894582,9.53577816709128e-09
0.02,270,1.0,converged,0,{},5,15,32,0.08046684550676425,0.010453562780196697,0.02,2.00584038267948e-09
0.02,270,0.5,converged,0,{},21,63,188,0.07875495769334886,0.010453556036137374,0.02,9.536627931794328e-09
0.02,315,1.0,converged,0,{},5,15,39,0.1499270999893999,0.020133186922897214,0.020133186922897214,5.856677365301266e-09
0.02,315,0.5,converged,0,{},22,66,233,0.1474721011972403,0.020133162391894797,0.020133162391894797,9.53577816709128e-09
