receiver_id,selected_indices,sigma_min_rad_per_d,g_00,g_01,g_10,g_11,g_spectral_norm,angle_box_to_position_d_per_rad
2,1;2,0.3155238492815843,-0.875,0.5051814855409228,-0.21650635094610965,0.12500000000000003,1.0408329997330665,4.163331998932267
3,0;2,0.3155238492815843,-0.875,-0.5051814855409228,0.21650635094610965,0.12500000000000003,1.0408329997330665,4.163331998932267
4,1;2,0.40824829046386296,-0.7500000000000001,0.43301270189221946,-0.4330127018922196,0.25000000000000017,1.0000000000000004,4.000000000000001
5,0;2,0.521640530957301,-0.7,-0.0,-0.0,-0.0,0.7,3.233161507461904
6,0;2,0.40824829046386296,-0.7500000000000001,-0.43301270189221946,0.4330127018922196,0.25000000000000017,1.0000000000000004,4.000000000000001
7,1;2,0.3155238492815846,-0.625,0.3608439182435162,-0.649519052838329,0.375,1.0408329997330665,4.163331998932265
8,0;1,0.5216405309573011,-0.675,0.12990381056766578,-0.12990381056766578,0.024999999999999994,0.7000000000000002,3.1749015732775083
9,0;1,0.5216405309573011,-0.675,-0.12990381056766578,0.12990381056766578,0.024999999999999994,0.7000000000000002,3.1749015732775083
10,0;2,0.3155238492815846,-0.625,-0.3608439182435162,0.649519052838329,0.375,1.0408329997330665,4.163331998932265
12,0;1,0.3155238492815844,-1.0,0.28867513459481287,0.0,0.0,1.0408329997330663,4.618802153517006
13,0;1,0.4082482904638632,-1.0,0.0,0.0,0.0,1.0,4.618802153517006
14,0;1,0.31552384928158445,-1.0,-0.28867513459481287,0.0,0.0,1.0408329997330663,4.618802153517006
