amplitude_d,direction_deg,delta_c_x,delta_c_y,receiver_id,candidate_bias_x,candidate_bias_y,candidate_bias_norm_d,linear_prediction_x,linear_prediction_y,linear_error_d,accepted,full_residual_rad,message
1e-05,0,1e-05,0.0,2,-8.750006250002329e-06,-2.1650851604881893e-06,9.013889456125252e-06,-8.750000000000001e-06,-2.1650635094610967e-06,2.253507273712278e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,3,-8.749993750001295e-06,2.1650418586816045e-06,9.013866921299938e-06,-8.750000000000001e-06,2.1650635094610967e-06,2.2534833845566967e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,4,-7.4999999998270894e-06,-4.330148669628997e-06,8.660264863068342e-06,-7.500000000000002e-06,-4.330127018922196e-06,2.1650706801800535e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,5,-7.000000000312312e-06,-1.212452360732641e-11,7.000000000322813e-06,-7e-06,0.0,1.2124523611348787e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,6,-7.500000000160156e-06,4.330105368488546e-06,8.66024321278656e-06,-7.500000000000002e-06,4.330127018922196e-06,2.165043365051758e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,7,-6.2499937495408275e-06,-6.495212178769805e-06,9.013889455531336e-06,-6.25e-06,-6.4951905283832905e-06,2.253458400073488e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,8,-6.750000000055323e-06,-1.299047198921599e-06,6.8738652609556515e-06,-6.750000000000001e-06,-1.299038105676658e-06,9.093244941188963e-12,True,0.0,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,9,-6.7500000002773675e-06,1.2990290126912996e-06,6.8738618242992194e-06,-6.750000000000001e-06,1.299038105676658e-06,9.092985362686941e-12,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,10,-6.250006250319018e-06,6.495168877740376e-06,9.01386692154893e-06,-6.25e-06,6.4951905283832905e-06,2.253479146637366e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,12,-9.999999999843467e-06,1.6653221216269818e-16,9.999999999843467e-06,-1e-05,0.0,2.2855125813063233e-16,True,0.0,`gtol` termination condition is satisfied.
1e-05,0,1e-05,0.0,13,-1.0000000000065512e-05,-1.5590549917907007e-22,1.0000000000065512e-05,-1e-05,0.0,6.551122220672761e-17,True,0.0,`gtol` termination condition is satisfied.
