seed,gain,calibration_rule,online_status,historical_1e_minus6_status,failure_types,illustrative_0_01d_pass,final_apex_error_d,final_max_position_error_d,bootstrap_slots,main_slots,complete_slots,complete_tx_uses,bootstrap_relay_scalars,complete_displacement_d
11,1.0,angle_1e-8,success,success,[],True,9.930136612989092e-16,1.23106663444592e-13,4,2,6,14,4,1.454467092176299
11,1.0,position_0.005d,success,success,[],True,9.930136612989092e-16,1.23106663444592e-13,4,2,6,14,4,1.454467092176299
11,1.0,position_0.01d,success,success,[],True,9.930136612989092e-16,1.23106663444592e-13,4,2,6,14,4,1.454467092176299
11,0.8,angle_1e-8,success,success,[],True,1.817321935737335e-08,2.2376646438943143e-08,22,12,34,80,22,1.454466901952576
11,0.8,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0014197827689347445,0.0014286462453672456,8,12,20,52,8,1.4467734393079243
11,0.8,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0070989138446740305,0.0071406255605185485,6,12,18,48,6,1.4165893980144024
11,0.5,angle_1e-8,success,success,[],True,2.1156410673069585e-08,2.9415127667830878e-08,48,25,73,171,48,1.4544668499029187
11,0.5,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.002773013220575262,0.0027900850357397413,14,26,40,106,14,1.439487520255986
11,0.5,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.005546026441151468,0.0055791736561237055,12,26,38,102,12,1.4247197812083057
23,1.0,angle_1e-8,success,success,[],True,4.440892098500626e-16,1.408855083090244e-13,4,2,6,14,4,1.1687768862008872
23,1.0,position_0.005d,success,success,[],True,4.440892098500626e-16,1.408855083090244e-13,4,2,6,14,4,1.1687768862008872
23,1.0,position_0.01d,success,success,[],True,4.440892098500626e-16,1.408855083090244e-13,4,2,6,14,4,1.1687768862008872
23,0.8,angle_1e-8,success,success,[],True,1.3343324957730527e-08,4.1400687825265296e-08,22,12,34,80,22,1.168776711725274
23,0.8,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0010424472851781723,0.0010808644819496026,8,12,20,52,8,1.1642251213428878
23,0.8,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.005212236425889176,0.005404351114845651,6,12,18,48,6,1.1466968099951167
23,0.5,angle_1e-8,success,success,[],True,3.1067349352746174e-08,5.7445107965919646e-08,46,25,71,167,46,1.1687765890209127
23,0.5,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0040720597077259875,0.004222147835980628,12,25,37,99,12,1.1513791087753114
23,0.5,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.008144119415451975,0.008444302393160397,10,25,35,95,10,1.1349413040887082
47,1.0,angle_1e-8,success,success,[],True,6.280369834735101e-16,1.1889887337306656e-13,4,2,6,14,4,0.7371002151671393
47,1.0,position_0.005d,success,success,[],True,6.280369834735101e-16,1.1889887337306656e-13,4,2,6,14,4,0.7371002151671393
47,1.0,position_0.01d,success,success,[],True,6.280369834735101e-16,1.1889887337306656e-13,4,2,6,14,4,0.7371002151671393
47,0.8,angle_1e-8,success,success,[],True,4.058935010762464e-08,4.058935010762464e-08,20,12,32,76,20,0.7371000383592906
47,0.8,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0031710429601255435,0.0031710429601255435,6,12,18,48,6,0.729233187644736
47,0.8,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.0031710429601255435,0.0031710429601255435,6,12,18,48,6,0.729233187644736
47,0.5,angle_1e-8,success,success,[],True,3.7801777650905415e-08,3.7801777650905415e-08,44,25,69,163,44,0.737100013472032
47,0.5,position_0.005d,success,failure,"[""shape_error_above_1e-6d""]",True,0.004954754625195409,0.004954754625195409,10,25,35,95,10,0.7250255664768228
47,0.5,position_0.01d,success,failure,"[""shape_error_above_1e-6d""]",True,0.009909509250390622,0.009909509250390622,8,25,33,91,8,0.7140508650957169
