rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.01,11,1.0,1,1,-0.012300700540839316,-0.01263132309696502,1.9999999999999996,3.4641016151377544,1
0.01,23,1.0,1,1,-0.012299927716125758,0.004394938243576174,1.9999999999999996,3.464101615137755,1
0.01,47,1.0,1,1,-0.0016376773383712795,-0.007520108222491384,2.0,3.4641016151377553,1
0.05,11,1.0,1,1,-0.062156466618352724,-0.06288054004331567,2.0,3.4641016151377553,1
0.05,23,1.0,1,1,-0.06118896765223969,0.022642544508079787,2.0,3.4641016151377544,1
0.05,47,1.0,1,1,-0.008414471087800024,-0.03806864592297421,1.9999999999999996,3.464101615137754,1
0.1,11,1.0,1,1,-0.12594414353126782,-0.12503872927614879,1.9999999999999996,3.4641016151377535,1
0.1,23,1.0,1,1,-0.12156127305323317,0.04693066421096104,1.9999999999999996,3.4641016151377544,1
0.1,47,1.0,1,1,-0.017419699858417736,-0.07733854127271655,1.9999999999999996,3.464101615137754,1
0.2,11,1.0,1,1,-0.2583972340535503,-0.246971141620413,1.9999999999999996,3.464101615137753,1
0.2,23,1.0,1,1,-0.23959970664506125,0.10027030096330725,2.0000000000000004,3.4641016151377553,1
0.2,47,1.0,1,1,-0.03738730529166512,-0.15969935735438812,2.0,3.4641016151377535,1
0.01,11,0.5,1,1,-0.006150350270419658,-0.00631566154848251,2.006150350270419,3.470417276686237,1
0.01,11,0.5,2,1,-0.003075175135209607,-0.003157830774241255,2.0030751751352094,3.4672594459119956,2
0.01,11,0.5,3,1,-0.0015375875676046924,-0.0015789153871206274,2.0015375875676047,3.465680530524875,3
0.01,11,0.5,4,1,-0.0007687937838023462,-0.0007894576935600917,2.000768793783802,3.464891072831315,4
0.01,11,0.5,5,1,-0.0003843968919010621,-0.00039472884678004583,2.000384396891901,3.4644963439845347,5
0.01,11,0.5,6,1,-0.00019219844595053104,-0.0001973644233899119,2.0001921984459505,3.4642989795611445,6
0.01,11,0.5,7,1,-9.609922297526552e-05,-9.868221169484492e-05,2.0000960992229753,3.46420029734945,7
0.01,11,0.5,8,1,-4.8049611487410715e-05,-4.9341105847533484e-05,2.000048049611488,3.4641509562436026,8
0.01,11,0.5,9,1,-2.4024805743705357e-05,-2.4670552923877764e-05,2.000024024805744,3.4641262856906785,9
0.01,11,0.5,10,1,-1.2012402872185746e-05,-1.2335276462271949e-05,2.0000120124028715,3.464113950414216,10
