rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.0,ideal,1.0,1,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,2,2,4,2.0000000000000004,3.464101615137754,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,1,1.0461178998643779,1.0514345485634358,1.0471975511965976,1.0471975511965976,0.0042369973668381355,2,2,4,2.0123007005408393,3.4767329382347194,-0.012300700540839316,-0.01263132309696502,True,observe_and_move,
0.01,11,1.0,2,1.0471975511965979,1.0471975511965976,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999996,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.01,23,1.0,1,1.0439870637001463,1.04931646725039,1.0471975511965976,1.0471975511965976,0.003210487496451364,2,2,4,2.0122999277161258,3.459706676894178,-0.012299927716125758,0.004394938243576174,True,observe_and_move,
0.01,23,1.0,2,1.0471975511965979,1.0471975511965976,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999996,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,1,1.047781926035441,1.0484902914077143,1.0471975511965976,1.0471975511965976,0.0012927402111166941,2,2,4,2.0016376773383713,3.4716217233602458,-0.0016376773383712795,-0.007520108222491384,True,observe_and_move,
0.01,47,1.0,2,1.0471975511965979,1.0471975511965979,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999998,3.4641016151377553,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,1,1.0417175863026065,1.0683878514397276,1.0471975511965976,1.0471975511965976,0.021190300243129956,2,2,4,2.0621564666183527,3.52698215518107,-0.062156466618352724,-0.06288054004331567,True,observe_and_move,
0.05,11,1.0,2,1.0471975511965979,1.0471975511965979,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999998,3.4641016151377553,0.0,0.0,False,stop_angle_threshold,
0.05,23,1.0,1,1.0311648423576194,1.0577470522498853,1.0471975511965976,1.0471975511965976,0.016032708838978227,2,2,4,2.0611889676522397,3.4414590706296746,-0.06118896765223969,0.022642544508079787,True,observe_and_move,
0.05,23,1.0,2,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,2,2,4,2.0000000000000004,3.464101615137754,0.0,0.0,False,stop_angle_threshold,
0.05,47,1.0,1,1.0501072943203873,1.0537308484091548,1.0471975511965976,1.0471975511965976,0.006533297212557132,2,2,4,2.0084144710878,3.5021702610607286,-0.008414471087800024,-0.03806864592297421,True,observe_and_move,
0.05,47,1.0,2,1.0471975511965979,1.0471975511965976,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999996,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.1,11,1.0,1,1.0360379629237373,1.0895891597267546,1.0471975511965976,1.0471975511965976,0.042391608530157,2,2,4,2.125944143531268,3.589140344413903,-0.12594414353126782,-0.12503872927614879,True,observe_and_move,
0.1,11,1.0,2,1.0471975511965976,1.0471975511965974,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999993,3.464101615137752,0.0,0.0,False,stop_angle_threshold,
0.1,23,1.0,1,1.0151845911895643,1.0681790092401808,1.0471975511965976,1.0471975511965976,0.03201296000703335,2,2,4,2.121561273053233,3.4171709509267933,-0.12156127305323317,0.04693066421096104,True,observe_and_move,
0.1,23,1.0,2,1.0471975511965979,1.0471975511965976,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999996,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.1,47,1.0,1,1.0529838406939658,1.0604426200611654,1.0471975511965976,1.0471975511965976,0.013245068864567777,2,2,4,2.0174196998584177,3.541440156410471,-0.017419699858417736,-0.07733854127271655,True,observe_and_move,
0.1,47,1.0,2,1.0471975511965979,1.0471975511965976,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999996,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.2,11,1.0,1,1.0241090673738849,1.1320097539043144,1.0471975511965976,1.0471975511965976,0.08481220270771672,2,2,4,2.2583972340535503,3.7110727567581674,-0.2583972340535503,-0.246971141620413,True,observe_and_move,
0.2,11,1.0,2,1.0471975511965976,1.0471975511965974,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,1.9999999999999993,3.464101615137752,0.0,0.0,False,stop_angle_threshold,
0.2,23,1.0,1,0.9834020338543795,1.0886578814591579,1.0471975511965976,1.0471975511965976,0.06379551734221811,2,2,4,2.2395997066450613,3.363831314174447,-0.23959970664506125,0.10027030096330725,True,observe_and_move,
0.2,23,1.0,2,1.0471975511965976,1.0471975511965979,1.0471975511965976,1.0471975511965976,2.220446049250313e-16,2,2,4,2.000000000000001,3.464101615137755,0.0,0.0,False,stop_angle_threshold,
0.2,47,1.0,1,1.0586166730057913,1.074433207635972,1.0471975511965976,1.0471975511965976,0.02723565643937431,2,2,4,2.037387305291665,3.6238009724921425,-0.03738730529166512,-0.15969935735438812,True,observe_and_move,
0.2,47,1.0,2,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,2,2,4,2.0000000000000004,3.464101615137754,0.0,0.0,False,stop_angle_threshold,
0.0,ideal,0.5,1,1.0471975511965976,1.0471975511965976,1.0471975511965976,1.0471975511965976,0.0,2,2,4,2.0000000000000004,3.464101615137754,0.0,0.0,False,stop_angle_threshold,
0.01,11,0.5,1,1.0461178998643779,1.0514345485634358,1.0471975511965976,1.0471975511965976,0.0042369973668381355,2,2,4,2.0123007005408393,3.4767329382347194,-0.006150350270419658,-0.00631566154848251,True,observe_and_move,
