rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.01,11,1.0,1,2,-0.016012358695283835,-0.003935869523939317,1.4999999999999993,2.5980762113533156,1
0.01,11,1.0,1,3,-0.009449141757479573,-0.002005695934389262,2.5,2.5980762113533156,1
0.01,11,1.0,1,4,-0.010889984578739353,-0.006408818098400548,0.9999999999999998,1.732050807568877,1
0.01,11,1.0,1,5,-0.01246677363767068,0.004049022097272648,1.9999999999999996,1.7320508075688772,1
0.01,11,1.0,1,6,-0.01715790124338623,-0.002482576446783513,2.9999999999999996,1.7320508075688772,1
0.01,11,1.0,1,7,-0.009436394099426093,-0.006309239432306435,0.5000000000000001,0.8660254037844385,1
0.01,11,1.0,1,8,-0.005101171298143026,-0.007334101580967145,1.4999999999999993,0.8660254037844386,1
0.01,11,1.0,1,9,-0.011612906735782413,-0.0022678010275319904,2.4999999999999996,0.8660254037844382,1
0.01,11,1.0,1,10,-0.007674544650303261,-0.004676395872376227,3.4999999999999996,0.866025403784439,1
0.01,11,1.0,1,12,-0.0068212946682342235,-0.0021754942521535286,0.9999999999999996,-9.497611030973019e-17,1
0.01,11,1.0,1,13,0.0035460813098810995,0.00035411993361026366,2.000000000000001,3.2845904815448357e-16,1
0.01,11,1.0,1,14,-0.004163536341231122,0.004048065629254896,3.0,5.377642775528102e-17,1
0.01,23,1.0,1,2,-0.007783587909175438,0.011785026345232819,1.4999999999999993,2.598076211353316,1
0.01,23,1.0,1,3,-0.009294041942625952,0.013919444440751771,2.5,2.5980762113533156,1
0.01,23,1.0,1,4,-0.008925181604662491,-0.0001881664035856545,0.9999999999999996,1.7320508075688767,1
0.01,23,1.0,1,5,-0.008415682323532625,0.0018373939562508212,2.0,1.7320508075688772,1
0.01,23,1.0,1,6,-0.006287657304949956,0.009480552107715479,2.9999999999999067,1.7320508075690102,1
0.01,23,1.0,1,7,-0.0022938269310666115,-0.005005606683271768,0.49999999999999944,0.8660254037844379,1
0.01,23,1.0,1,8,-0.0010717791524768039,0.00396540361519071,1.4999999999999998,0.8660254037844382,1
0.01,23,1.0,1,9,-0.00033568987868815015,0.007803040398420835,2.5,0.8660254037844386,1
0.01,23,1.0,1,10,-0.0015981421111170846,0.007874644668521502,3.4999999999999996,0.8660254037844386,1
0.01,23,1.0,1,12,0.0013698595515924117,0.0012334138161126502,0.9999999999999993,1.6696713456276768e-17,1
0.01,23,1.0,1,13,0.004179448420896126,0.004171999493045225,1.9999999999999996,2.723515857283587e-16,1
0.01,23,1.0,1,14,-0.0050020254058362745,0.00991807947424079,2.9999999999999996,1.1275702593849246e-16,1
0.01,47,1.0,1,2,0.005211386522532058,0.002430092564677633,1.4999999999999998,2.598076211353316,1
0.01,47,1.0,1,3,0.00015712717060889503,-0.0010110202858615303,2.5000000000000004,2.5980762113533156,1
0.01,47,1.0,1,4,0.0031874296348798348,-0.00062168154769493,1.000000000000005,1.732050807568865,1
0.01,47,1.0,1,5,-0.002062409462233905,0.0016925930687727853,1.9999999999999996,1.7320508075688774,1
0.01,47,1.0,1,6,-0.006032420650406767,-0.002962761620636911,3.0000000000000333,1.7320508075687797,1
0.01,47,1.0,1,7,0.001752296330994274,-0.003137097377218123,0.49999999999999956,0.8660254037844382,1
0.01,47,1.0,1,8,-0.007244803708444714,0.0032167890917836894,1.5,0.8660254037844383,1
0.01,47,1.0,1,9,-0.009644998403856686,0.005573675218934149,2.5,0.8660254037844385,1
0.01,47,1.0,1,10,-0.006743824181497882,-0.0013074779085917587,3.5,0.8660254037844383,1
0.01,47,1.0,1,12,-0.0008255707192144079,-0.0015880462707104854,0.9999999999999993,-1.3574211199518516e-16,1
0.01,47,1.0,1,13,-0.0017983279419646614,0.0015110646193462448,1.9999999999999978,3.575915605291691e-15,1
0.01,47,1.0,1,14,-0.0021262317240200446,0.0105744825304304,3.0,1.0928757898653885e-16,1
0.05,11,1.0,1,2,-0.08044331797974191,-0.019137118542967624,1.4999999999999996,2.598076211353316,1
0.05,11,1.0,1,3,-0.04745898145880689,-0.00970386849051641,2.5000000000000004,2.598076211353316,1
0.05,11,1.0,1,4,-0.05484918731206201,-0.031729883329034925,0.9999999999999987,1.7320508075688759,1
0.05,11,1.0,1,5,-0.06236446825340547,0.020771271954988846,1.9999999999999925,1.7320508075688699,1
0.05,11,1.0,1,6,-0.08613334280906138,-0.011806497793420023,2.9999999999999876,1.7320508075689007,1
0.05,11,1.0,1,7,-0.04755625363058824,-0.03128498096738552,0.49999999999999944,0.8660254037844377,1
0.05,11,1.0,1,8,-0.02585514699788871,-0.03658665855896781,1.5000000000000002,0.8660254037844384,1
0.05,11,1.0,1,9,-0.0583192580508376,-0.010937178270564951,2.500000000000005,0.8660254037844388,1
0.05,11,1.0,1,10,-0.03866008722779757,-0.023162884297205477,3.5000000000000004,0.8660254037844379,1
0.05,11,1.0,1,12,-0.03428768717045161,-0.010653773178423332,1.0000000000000135,-7.684824998577255e-15,1
0.05,11,1.0,1,13,0.017795514195375173,0.0016429521302105089,1.9999999999999998,-1.5113778284447932e-16,1
0.05,11,1.0,1,14,-0.02072692485610883,0.020455463195387828,2.9999999999999742,-1.4575146645157133e-14,1
0.05,23,1.0,1,2,-0.03821574855620602,0.05930099700443581,1.5000000000000002,2.598076211353316,1
0.05,23,1.0,1,3,-0.045640319761894865,0.07004681873602214,2.5000000000000004,2.5980762113533156,1
0.05,23,1.0,1,4,-0.044590119877001344,-0.00043867813807896283,1.0000000000000002,1.732050807568877,1
0.05,23,1.0,1,5,-0.041931528140385144,0.009649993644966548,1.9999999999999996,1.7320508075688772,1
0.05,23,1.0,1,6,-0.030873268246016217,0.04770659330990301,3.0,1.7320508075688772,1
0.05,23,1.0,1,7,-0.011738301649534821,-0.024873230553631,0.4999999999999999,0.866025403784438,1
0.05,23,1.0,1,8,-0.005130659613001853,0.01986660687708397,1.5,0.8660254037844382,1
0.05,23,1.0,1,9,-0.001238541034871421,0.03899352575527637,2.5,0.8660254037844383,1
0.05,23,1.0,1,10,-0.007540224659777106,0.039422065823907726,3.5000000000000004,0.8660254037844857,1
0.05,23,1.0,1,12,0.00691144319489978,0.00608374130090505,1.0,8.066464163292153e-17,1
0.05,23,1.0,1,13,0.021109806212497695,0.020603640575971725,1.9999999999999996,9.020562075079397e-17,1
0.05,23,1.0,1,14,-0.02442721735585973,0.04981976556326287,2.9999999999999996,1.6653345369377348e-16,1
0.05,47,1.0,1,2,0.02643751330246369,0.012227934210679692,1.4999999999999851,2.5980762113533067,1
0.05,47,1.0,1,3,0.0007800213930222455,-0.005123981041063708,2.4999999999999996,2.598076211353316,1
0.05,47,1.0,1,4,0.01613669832172049,-0.003199475772576621,1.0,1.732050807568877,1
0.05,47,1.0,1,5,-0.010420828449906328,0.008606638960977353,1.9999999999999991,1.7320508075688767,1
0.05,47,1.0,1,6,-0.03060500421904866,-0.014913324711043341,2.9999999999999996,1.7320508075688776,1
0.05,47,1.0,1,7,0.008827128242261839,-0.01591914699449337,0.4999999999999996,0.8660254037844383,1
0.05,47,1.0,1,8,-0.036649153490152964,0.016409405887946815,1.4999999999999998,0.8660254037844383,1
0.05,47,1.0,1,9,-0.048770623844475836,0.028386464243096876,2.500000000000005,0.8660254037844358,1
0.05,47,1.0,1,10,-0.03418265783404584,-0.006516975900866306,3.4999999999999996,0.866025403784451,1
0.05,47,1.0,1,12,-0.004207105405343858,-0.008031521573456744,1.0,1.3357370765021415e-16,1
0.05,47,1.0,1,13,-0.009085937174142078,0.007682911909930711,1.9999999999999996,-8.500145032286355e-17,1
0.05,47,1.0,1,14,-0.010604146026864214,0.05360044896570385,2.9999999999999662,-1.7319479184152442e-14,1
0.1,11,1.0,1,2,-0.16182357830396032,-0.03689373596604062,1.4999999999999987,2.598076211353315,1
0.1,11,1.0,1,3,-0.09544080209911154,-0.018581927593472436,2.499999999999999,2.598076211353316,1
0.1,11,1.0,1,4,-0.11068963088055028,-0.06265224052226803,0.9999999999999998,1.732050807568877,1
0.1,11,1.0,1,5,-0.12478359675844652,0.04286772224551294,1.9999999999999996,1.7320508075688772,1
0.1,11,1.0,1,6,-0.17310607801165157,-0.022072672246964187,2.999999999999999,1.7320508075688779,1
0.1,11,1.0,1,7,-0.0960431570794088,-0.061896827170640045,0.5000000000000002,0.8660254037844387,1
0.1,11,1.0,1,8,-0.052585587954625757,-0.07294751745608907,1.5000000000000915,0.8660254037845208,1
0.1,11,1.0,1,9,-0.11726237486527502,-0.020852504673540606,2.4999999999999996,0.8660254037844387,1
0.1,11,1.0,1,10,-0.0780339140392785,-0.045762304446523516,3.499999999999998,0.8660254037844625,1
0.1,11,1.0,1,12,-0.06902183322744193,-0.02073700604215401,1.0,-3.469446951953614e-18,1
0.1,11,1.0,1,13,0.03574942833403205,0.0029619656785569697,1.9999999999999998,1.0495077029659683e-16,1
0.1,11,1.0,1,14,-0.04121636422576902,0.0414483774283776,2.9999999999999996,-1.734723475976807e-16,1
0.1,23,1.0,1,2,-0.07465705924521471,0.11949489664542945,1.4999999999999998,2.598076211353316,1
0.1,23,1.0,1,3,-0.08918316741343668,0.141162328340938,2.500000000000114,2.5980762113532334,1
0.1,23,1.0,1,4,-0.08905937608155012,0.0003724001929625853,1.0000000000000089,1.732050807568889,1
0.1,23,1.0,1,5,-0.08346766571331621,0.02044518303789844,1.9999999999999027,1.7320508075688854,1
0.1,23,1.0,1,6,-0.06031864657863295,0.09613513328973955,3.0,1.7320508075688774,1
0.1,23,1.0,1,7,-0.02413796040813654,-0.04934353751414533,0.49999999999999933,0.8660254037844379,1
0.1,23,1.0,1,8,-0.009689768313797531,0.039817541786842936,1.5,0.8660254037844377,1
0.1,23,1.0,1,9,-0.001381632212278383,0.07790529402781232,2.4999999999999987,0.8660254037844685,1
0.1,23,1.0,1,10,-0.013954184278029746,0.07893753083696609,3.5,0.8660254037844383,1
0.1,23,1.0,1,12,0.01397258313133598,0.01195580806777804,1.0000000000000004,-2.185751579730777e-16,1
0.1,23,1.0,1,13,0.04273344509430865,0.040554720544787565,1.9999999999999987,-2.0816681711721685e-17,1
0.1,23,1.0,1,14,-0.04738662749389588,0.10017468954760493,2.9999999999999996,1.3877787807814457e-17,1
0.1,47,1.0,1,2,0.053856460526874095,0.02464838596556662,1.5,2.5980762113533165,1
0.1,47,1.0,1,3,0.0015443228814944199,-0.010425227583376717,2.4999999999999996,2.598076211353316,1
0.1,47,1.0,1,4,0.03278557907161339,-0.006637113489012192,1.0,1.7320508075688772,1
0.1,47,1.0,1,5,-0.021119140519959334,0.017585238267379122,1.9999999999999991,1.7320508075688767,1
0.1,47,1.0,1,6,-0.06235232418405534,-0.030074792322201338,2.9999999999999996,1.7320508075688772,1
0.1,47,1.0,1,7,0.017819017275697124,-0.03244118344180125,0.500000000000005,0.8660254037845572,1
0.1,47,1.0,1,8,-0.07438708557296136,0.03366468011814383,1.500000000000021,0.8660254037843879,1
0.1,47,1.0,1,9,-0.09893678129926808,0.05811703112435218,2.5,0.8660254037844385,1
0.1,47,1.0,1,10,-0.06955857200421223,-0.012972890180770413,3.499999999999999,0.8660254037844393,1
0.1,47,1.0,1,12,-0.008619961255566189,-0.016296667480000804,1.0000000000000004,1.249000902703301e-16,1
0.1,47,1.0,1,13,-0.018412356586522627,0.01569609955132779,1.9999999999999996,-2.463307335887066e-16,1
0.1,47,1.0,1,14,-0.021125390188290183,0.10907513230330024,2.999999999999999,2.7755575615628914e-17,1
0.2,11,1.0,1,2,-0.3272749627551328,-0.06810120339915393,1.4999999999999998,2.598076211353316,1
0.2,11,1.0,1,3,-0.1928996531961693,-0.03376667554698676,2.4999999999999987,2.5980762113533165,1
0.2,11,1.0,1,4,-0.22529232292807788,-0.12192741922860617,1.0000000000000002,1.732050807568877,1
0.2,11,1.0,1,5,-0.24963597220301503,0.09109687783548237,1.9999999999999991,1.7320508075688774,1
0.2,11,1.0,1,6,-0.3494274095653047,-0.0378244177528686,2.9999999999999987,1.732050807568878,1
0.2,11,1.0,1,7,-0.19576988537104179,-0.12096663617549819,0.5000000000000004,0.8660254037844412,1
0.2,11,1.0,1,8,-0.10868239585790751,-0.14488209016574616,1.4999999999999998,0.8660254037844386,1
0.2,11,1.0,1,9,-0.2369285251573392,-0.03750400989634706,2.4999999999999996,0.8660254037844388,1
0.2,11,1.0,1,10,-0.15888743476890932,-0.08916567671965159,3.4999999999999987,0.86602540378444,1
0.2,11,1.0,1,12,-0.13978235670763128,-0.0391171638210294,0.9999999999999998,4.85722573273506e-17,1
0.2,11,1.0,1,13,0.07210178174508108,0.004596686137601596,1.9999999999999991,-3.469446951953614e-17,1
0.2,11,1.0,1,14,-0.08141133894346986,0.08504138125899872,2.9999999999999996,-2.914335439641036e-16,1
0.2,23,1.0,1,2,-0.14210733780465112,0.2422452109074169,1.499999999999933,2.598076211353275,1
0.2,23,1.0,1,3,-0.16984535989610494,0.286225366601331,2.500000000000001,2.5980762113533156,1
0.2,23,1.0,1,4,-0.17742948391693747,0.005695513645656014,1.0,1.7320508075688772,1
0.2,23,1.0,1,5,-0.16517158518981745,0.04537938341433101,2.0000000000000004,1.7320508075688772,1
0.2,23,1.0,1,6,-0.11483742570185074,0.19490353564991292,3.0000000000000004,1.732050807568877,1
0.2,23,1.0,1,7,-0.050839222941914786,-0.0969741000814035,0.5000000000000008,0.8660254037844445,1
0.2,23,1.0,1,8,-0.017092133566619427,0.07987512709924083,1.5000000000000706,0.8660254037844003,1
0.2,23,1.0,1,9,0.001580222751137228,0.15530261161335823,2.5000000000000004,0.8660254037844386,1
0.2,23,1.0,1,10,-0.023413087821331224,0.15805862544709848,3.500000000000001,0.8660254037844377,1
0.2,23,1.0,1,12,0.028505261776192392,0.023044706494376423,1.0000000000000004,-1.0061396160665481e-16,1
0.2,23,1.0,1,13,0.0874017622319383,0.07842815610700181,1.9999999999992975,3.566591466608315e-15,1
0.2,23,1.0,1,14,-0.08884578492691642,0.2022330411066482,2.999999999999999,-5.551115123125783e-16,1
0.2,47,1.0,1,2,0.11185148656991761,0.0500552858631238,1.5,2.5980762113533156,1
0.2,47,1.0,1,3,0.003013247344707093,-0.021595317477535403,2.5,2.5980762113533165,1
0.2,47,1.0,1,4,0.0677132470090025,-0.01430286575436468,1.0000000000000013,1.7320508075688787,1
0.2,47,1.0,1,5,-0.04338608891547713,0.03674967630151227,2.000000000000002,1.7320508075688796,1
0.2,47,1.0,1,6,-0.12952288808355217,-0.06113367777443557,2.9999999999999356,1.7320508075689642,1
0.2,47,1.0,1,7,0.03629958517914089,-0.06742709678451297,0.5,0.8660254037844386,1
0.2,47,1.0,1,8,-0.15330998403455864,0.0709445311615392,1.5,0.8660254037844384,1
0.2,47,1.0,1,9,-0.20367371210396046,0.1219611474407426,2.4999999999999996,0.8660254037844384,1
