rho,seed,gain,max_rounds,online_status,status,actual_spacing_d,d_actual,d_actual_ratio,actual_spacing_over_template_d,raw_base_length,raw_max_perturbation_d,initial_max_deviation_d,initial_rms_deviation_d,initial_max_error_d,initial_rms_error_d,mirrored_apex_side,measurement_slots,tx_uses,bootstrap_relay_scalars,action_count,bootstrap_cumulative_move_d,main_cumulative_move_d,total_cumulative_move_d,bootstrap_cumulative_move_raw_d,main_cumulative_move_raw_d,total_cumulative_move_raw_d,final_max_position_error_d,final_rms_position_error_d,shape_error_pass,bootstrap_status,bootstrap_rounds,bootstrap_actions,main_status,main_broadcast_slots,main_actions,failure_types_json,bootstrap_summary_json,main_summary_json
0.0,ideal,1.0,30,success,success,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,False,3,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,converged,1,0,converged,1,0,[],"{""status"":""converged"",""failure"":null,""rounds"":1,""stop_round"":1,""action_count"":0,""relay_scalar_count"":2,""angle_slots"":2,""tx_uses"":4,""final_angle_error_rad"":0.0,""final_apex_x"":2.0,""final_apex_y"":3.4641016151377544}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":1,""measurement_slots"":1,""angle_rows"":36,""tx_uses"":3,""action_count"":0,""receiver_rounds"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_actions"":{""2"":0,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""12"":0,""13"":0,""14"":0},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""7"":0.0,""8"":0.0,""9"":0.0,""10"":0.0,""12"":0.0,""13"":0.0,""14"":0.0},""final_max_angle_error_rad"":0.0}"
0.01,11,1.0,30,success,success,0.9992560497247158,0.9992560497247158,0.9992560497247158,0.9992560497247158,3.9970241988988633,0.01,0.017631153024556156,0.01106106541288874,0.017631153024556156,0.01106106541288874,False,6,14,4,13,0.017631153024556465,0.12686380737326874,0.14449496039782522,0.017618036323410267,0.1267694270088498,0.14438746333226007,9.46966869291403e-16,5.189380396439853e-16,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377544}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":2.220446049250313e-16,""4"":2.220446049250313e-16,""5"":4.440892098500626e-16,""6"":0.0,""7"":0.0,""8"":2.220446049250313e-16,""9"":4.440892098500626e-16,""10"":2.220446049250313e-16,""12"":2.220446049250313e-16,""13"":6.661338147750939e-16,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":6.661338147750939e-16}"
0.01,23,1.0,30,success,success,1.0002244189438136,1.0002244189438136,1.0002244189438136,1.0002244189438136,4.000897675775255,0.01,0.016737089029173445,0.009193944689400999,0.016737089029173445,0.009193944689400999,False,6,14,4,13,0.013061535284443673,0.10409370704454553,0.1171552423289892,0.013064466540396792,0.1041170676443381,0.11718153418473491,1.6244213303034845e-13,4.194496514985268e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.464101615137755}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":4.440892098500626e-16,""3"":0.0,""4"":0.0,""5"":4.440892098500626e-16,""6"":5.3734794391857577e-14,""7"":2.220446049250313e-16,""8"":4.440892098500626e-16,""9"":2.220446049250313e-16,""10"":4.440892098500626e-16,""12"":0.0,""13"":2.220446049250313e-16,""14"":0.0},""final_max_angle_error_rad"":5.3734794391857577e-14}"
0.01,47,1.0,30,success,success,0.9967664181144954,0.9967664181144954,0.9967664181144954,0.9967664181144954,3.9870656724579816,0.01,0.01113965213355235,0.005934453458825809,0.01113965213355235,0.005934453458825809,False,6,14,4,13,0.007696363735076284,0.06386357962071618,0.07155994335579247,0.007671476912718287,0.06365707150651115,0.07132854841922943,1.0301074970681804e-13,2.684075825040084e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":2.0,""final_apex_y"":3.4641016151377553}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":2.220446049250313e-16,""4"":1.0658141036401503e-14,""5"":4.440892098500626e-16,""6"":3.907985046680551e-14,""7"":2.220446049250313e-16,""8"":4.440892098500626e-16,""9"":4.440892098500626e-16,""10"":4.440892098500626e-16,""12"":2.220446049250313e-16,""13"":3.552713678800501e-15,""14"":0.0},""final_max_angle_error_rad"":3.907985046680551e-14}"
0.05,11,1.0,30,success,success,0.996314963988466,0.996314963988466,0.996314963988466,0.996314963988466,3.985259855953864,0.05000000000000001,0.08841599775276833,0.05546858638950533,0.08841599775276833,0.05546858638950534,False,6,14,4,13,0.08841599775276769,0.6361915237193941,0.7246075214721618,0.08809018161705304,0.6338471350442555,0.7219373166613084,2.959504892745924e-14,1.1453457880228558e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":2.0,""final_apex_y"":3.4641016151377553}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":0.0,""3"":0.0,""4"":4.440892098500626e-16,""5"":8.43769498715119e-15,""6"":8.215650382226158e-15,""7"":2.220446049250313e-16,""8"":4.440892098500626e-16,""9"":3.1086244689504383e-15,""10"":2.220446049250313e-16,""12"":1.199040866595169e-14,""13"":0.0,""14"":2.2648549702353193e-14},""final_max_angle_error_rad"":2.2648549702353193e-14}"
0.05,23,1.0,30,success,success,1.0012011939228018,1.0012011939228018,1.0012011939228018,1.0012011939228018,4.004804775691207,0.05,0.08360380136695494,0.045924875242741844,0.08360380136695494,0.04592487524274184,False,6,14,4,13,0.06524396205126731,0.5199607645104967,0.5852047265617639,0.0653223327019828,0.520585338220922,0.5859076709229049,4.729758572894668e-14,1.221589912052486e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":0.0,""final_apex_x"":2.0,""final_apex_y"":3.4641016151377544}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":4.440892098500626e-16,""4"":2.220446049250313e-16,""5"":4.440892098500626e-16,""6"":0.0,""7"":2.220446049250313e-16,""8"":4.440892098500626e-16,""9"":4.440892098500626e-16,""10"":3.68594044175552e-14,""12"":0.0,""13"":2.220446049250313e-16,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":3.68594044175552e-14}"
0.05,47,1.0,30,success,success,0.9838380235732199,0.9838380235732199,0.9838380235732199,0.9838380235732199,3.9353520942928797,0.05,0.05643017900383264,0.0300621838955639,0.05643017900383264,0.030062183895563904,False,6,14,4,13,0.038987499613288915,0.3235139828977372,0.3625014825110261,0.03835738456359984,0.3182853575324102,0.35664274209601005,3.7935201414378056e-14,1.137427990266311e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.464101615137754}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":1.2878587085651816e-14,""3"":2.220446049250313e-16,""4"":0.0,""5"":8.881784197001252e-16,""6"":2.220446049250313e-16,""7"":2.220446049250313e-16,""8"":4.440892098500626e-16,""9"":3.3306690738754696e-15,""10"":9.547918011776346e-15,""12"":0.0,""13"":0.0,""14"":2.7533531010703882e-14},""final_max_angle_error_rad"":2.7533531010703882e-14}"
0.1,11,1.0,30,success,success,0.992717292188455,0.992717292188455,0.992717292188455,0.992717292188455,3.97086916875382,0.10000000000000002,0.1774728461168589,0.11133921628245336,0.1774728461168589,0.11133921628245336,False,6,14,4,13,0.17747284611685984,1.2769942460594392,1.454467092176299,0.17618036323410746,1.267694270088364,1.4438746333224715,1.23106663444592e-13,3.240084451535201e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377535}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":1.1102230246251565e-15,""3"":2.220446049250313e-16,""4"":2.220446049250313e-16,""5"":4.440892098500626e-16,""6"":2.220446049250313e-16,""7"":2.220446049250313e-16,""8"":6.88338275267597e-14,""9"":0.0,""10"":1.687538997430238e-14,""12"":2.220446049250313e-16,""13"":2.220446049250313e-16,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":6.88338275267597e-14}"
0.1,23,1.0,30,success,success,1.002599688341454,1.002599688341454,1.002599688341454,1.002599688341454,4.010398753365816,0.1,0.16697437016671612,0.09172163218971498,0.16697437016671612,0.09172163218971498,False,6,14,4,13,0.13030591064723307,1.038470975553654,1.1687768862008872,0.13064466540396524,1.0411706764417394,1.1718153418457047,1.408855083090244e-13,4.5094610962211376e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.4641016151377544}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":9.658940314238862e-14,""4"":5.329070518200751e-15,""5"":8.215650382226158e-14,""6"":2.220446049250313e-16,""7"":2.220446049250313e-16,""8"":8.881784197001252e-16,""9"":2.531308496145357e-14,""10"":2.220446049250313e-16,""12"":4.440892098500626e-16,""13"":2.220446049250313e-16,""14"":0.0},""final_max_angle_error_rad"":9.658940314238862e-14}"
0.1,47,1.0,30,success,success,0.9676913254328862,0.9676913254328862,0.9676913254328862,0.9676913254328862,3.8707653017315446,0.1,0.1147435226954799,0.061127590608246296,0.1147435226954799,0.061127590608246296,False,6,14,4,13,0.07927607400312557,0.6578241411640138,0.7371002151671393,0.07671476912720016,0.6365707150647545,0.7132854841919546,1.1889887337306656e-13,3.3801885177673015e-14,True,converged,2,1,converged,2,12,[],"{""status"":""converged"",""failure"":null,""rounds"":2,""stop_round"":2,""action_count"":1,""relay_scalar_count"":4,""angle_slots"":4,""tx_uses"":8,""final_angle_error_rad"":2.220446049250313e-16,""final_apex_x"":1.9999999999999996,""final_apex_y"":3.464101615137754}","{""status"":""converged"",""failure_count"":0,""failures"":{},""broadcast_slots"":2,""measurement_slots"":2,""angle_rows"":72,""tx_uses"":6,""action_count"":12,""receiver_rounds"":{""2"":2,""3"":2,""4"":2,""5"":2,""6"":2,""7"":2,""8"":2,""9"":2,""10"":2,""12"":2,""13"":2,""14"":2},""receiver_actions"":{""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""12"":1,""13"":1,""14"":1},""receiver_status"":{""2"":""converged"",""3"":""converged"",""4"":""converged"",""5"":""converged"",""6"":""converged"",""7"":""converged"",""8"":""converged"",""9"":""converged"",""10"":""converged"",""12"":""converged"",""13"":""converged"",""14"":""converged""},""final_angle_error_rad"":{""2"":2.220446049250313e-16,""3"":2.220446049250313e-16,""4"":0.0,""5"":8.881784197001252e-16,""6"":0.0,""7"":8.748557434046234e-14,""8"":4.707345624410664e-14,""9"":2.220446049250313e-16,""10"":4.440892098500626e-16,""12"":2.220446049250313e-16,""13"":0.0,""14"":2.220446049250313e-16},""final_max_angle_error_rad"":8.748557434046234e-14}"
